번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,국제민간항공협약의 적용 대상인 민간항공기와 국가항공기의 구분에 대한 설명으로 가장 옳지 않은 것은?,,"본 협약은 민간항공기에 한하여 적용되며, 국가항공기에는 적용되지 아니한다.","군, 세관 및 경찰업무에 사용되는 항공기는 국가항공기로 간주한다.",체약국의 국가항공기는 특별협정 등에 의한 명시적 허가 없이는 타 체약국의 영역 상공을 비행할 수 없다.,"모든 체약국은 국가항공기의 비행 시 민간항공기의 항행안전에 대한 정당한 고려를 할 의무를 가지나, 이는 전시(War time)에는 예외적으로 면제된다.",4,"전시 면제 규정은 명시되어 있지 않다. 협약 제3조 (d)항에 따라 체약국은 자국의 국가항공기에 대한 규칙을 제정함에 있어 민간항공기의 항행안전에 대하여 항상 정당한 고려를 하여야 하며, 전시에 대한 명시적 예외 조항은 존재하지 않는다. 출처: 제3조"
2,비행 중인 민간항공기에 대한 무기사용 금지 규정에 대한 설명 중 옳은 것을 모두 고른 것은?,"ㄱ. 각 체약국은 비행 중인 민간항공기에 대한 무기의 사용을 삼가야 한다.
ㄴ. 요격 시 민간항공기 탑재인원의 생명과 항공기의 안전을 위태롭게 하여서는 아니 된다.
ㄷ. 체약국은 주권원칙에 따라 무허가 민간항공기에 대해 사전 경고 없이 즉각적인 무력행사를 할 수 있는 권한을 보장받는다.
ㄹ. 체약국은 자국에 등록되었거나 자국 운영자가 운영하는 민간항공기가 협약의 목적에 어긋나는 목적으로 사용되는 것을 금지할 적절한 조치를 취해야 한다.","ㄱ, ㄴ","ㄱ, ㄴ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,ㄷ은 틀림. 제3조의2(Art 3 bis)에 따르면 무기사용 금지와 생명/안전 보호가 최우선 원칙이며 무허가 비행이라 하더라도 무기사용이나 생명 위협은 엄격히 금지된다. 출처: 제3조의 2
3,부정기비행(Non-scheduled flight) 항공기에 대한 체약국의 권한으로 적절하지 않은 것은?,,다른 체약국의 부정기비행 민간항공기는 원칙적으로 사전 허가 없이 자국 영역으로의 비행 또는 자국 영역을 통과하는 무착륙 비행을 할 권리를 가진다.,체약국은 영역 상공을 비행하는 다른 체약국의 부정기비행 항공기에 대하여 언제든지 착륙을 요구할 권리를 가진다.,"접근이 곤란한 지역을 비행하는 부정기비행 항공기에 대해 비행 안전을 이유로 특별한 항로를 따르도록 요구할 수 있으나, 특별한 사전 허가를 요구할 권한은 없다.","승객, 우편물 또는 화물을 유상으로 싣거나 내릴 목적으로 착륙하는 부정기비행 항공기에 대하여 체약국은 자국 규정에 따라 제한을 부과할 수 있다.",3,협약 제5조에 따르면 접근이 곤란한 지역이나 적절한 항공항행시설이 없는 지역의 비행에 대해서 체약국은 비행안전상 요구되는 지시(특별 항로 지정)뿐만 아니라 특별한 허가(special permission)를 사전에 취득하도록 요구할 권리도 보유한다. 출처: 제5조
4,국제민간항공협약상 '카보타지(Cabotage)'에 대한 규제로 가장 옳은 것은?,,"각 체약국은 타 체약국의 항공기가 보수나 임대를 목적으로 자국 내의 한 지점에서 다른 지점으로 여객, 화물 등을 운송하는 것을 거부할 권리를 갖는다.","체약국은 타국에게 카보타지 권리를 독점적으로 부여할 수 있으며, 타국으로부터 그러한 독점적 권리를 취득할 수도 있다.","타 체약국에게 카보타지를 허용하는 경우, 모든 체약국에게 동일한 조건으로 카보타지를 개방하여야 하는 최혜국 대우 의무가 강제 적용된다.",영토 내의 자국 수송수단이 현저히 부족한 경우에 한하여 체약국은 타 체약국에 카보타지를 제한적으로 허용할 수 있다.,1,"협약 제7조에 따르면, 체약국은 카보타지 권리를 타국에 '독점적'으로 부여하거나 타국으로부터 그러한 독점적 권리를 취득하지 아니하기로 약정한다. 2번은 정반대이며, 3번의 일괄 최혜국 대우나 4번의 예외 규정은 협약 제7조에 존재하지 않는다. 출처: 제7조"
5,정기항공업무(Scheduled air services)에 대한 설명으로 가장 적절한 것은?,,본 협약에 가입한 체약국의 항공사는 원칙적으로 별도의 허가 없이 타 체약국으로의 정기항공업무를 수행할 수 있다.,정기국제항공업무는 해당 체약국의 특별한 허가 또는 인가 없이는 타 체약국 영역 상공에서 또는 동 영역 내로 운영될 수 없다.,"정기항공업무와 부정기비행은 구별되지 않으며, ICAO 이사회에 통보하는 것만으로 상호 영공 진입이 가능하다.","체약국은 타 체약국의 정기항공업무에 대해 불합리한 조건을 부과할 수 없으나, 착륙 횟수는 협약에 의해 주 3회로 제한된다.",2,"협약 제6조에 따르면 정기국제항공업무는 그 국가의 특별한 허가(special permission) 또는 인가(authorization) 없이, 그리고 그러한 허가 등의 조건에 따르지 아니하고는 체약국의 영역 상공에서 또는 동 영역 내로 운영될 수 없다. 출처: 제6조"
6,무인항공기(Pilotless aircraft)의 비행에 관한 체약국의 의무 및 규정에 대한 설명 중 가장 옳지 않은 것은?,,조종사가 없는 항공기는 원칙적으로 영공국의 특별한 허가 없이는 체약국의 영역 상공을 비행할 수 없다.,체약국은 무인항공기가 자국 영역 상공을 비행하도록 허가할 경우 민간항공기에 대한 위험을 방지하기 위하여 적절한 통제를 실시해야 한다.,항공기 등록국의 사전 인가가 있는 경우에는 상업적 목적의 무인항공기도 특별 허가 없이 타 체약국의 영공을 인가조건에 따라 통과 비행할 수 있다.,무인항공기의 비행 허가 및 통제는 전적으로 해당 영공국의 주권 사항이며 타 체약국 영역 비행 시 해당 체약국의 통제를 준수해야 한다.,3,"협약 제8조에 따르면, 조종사 없이 비행할 수 있는 항공기는 등록국의 인가와 무관하게 진입하고자 하는 당해 영공국(체약국)의 특별한 허가(special permission) 없이는 그 영역 상공을 비행하지 못한다. 출처: 제8조"
7,비행금지구역(Prohibited areas) 설정에 관한 설명으로 가장 옳지 않은 것은?,,체약국은 군사적 필요성 또는 공공의 안전을 위하여 자국 영역 내의 특정 구역 상공을 다른 체약국의 항공기가 비행하는 것을 차별 없이 일률적으로 금지할 수 있다.,비행금지구역은 합리적인 범위 내에서 설정되어야 하며 항행에 불필요한 방해를 주지 아니하여야 한다.,"비상사태 시 체약국은 타국 항공기의 자국 영역 내 전 영역 상공 비행을 즉각 일시 제한할 수 있으며, 이 경우 자국 항공기에는 구별을 두어 제한을 면제할 수 있다.",비행금지구역의 설정 및 변경 사항은 신속하게 다른 체약국 및 ICAO에 통지되어야 한다.,3,"협약 제9조(b)항에 따르면 비상사태 시 비행을 일시적으로 제한하거나 금지할 수 있으나, 이러한 조치는 자국 항공기와 타 체약국 항공기 간에 구별 없이(without distinction of nationality) 동등하게 적용되어야 한다. 출처: 제9조"
8,세관공항 착륙(Landing at customs airport) 규정에 대한 설명 중 적절하지 않은 것은?,,협약상 통과비행이 허용된 경우를 제외하고 체약국에 진입하는 모든 항공기는 세관 등의 검사를 위해 지정된 공항에 착륙하여야 한다.,체약국은 자국 내 어느 지정 공항에서든 국제항공기가 이착륙하도록 요구할 권한을 지닌다.,국제항공의 목적상 세관 및 출입국 검사를 위해 지정된 공항의 정보는 수시로 변경될 수 있으나 ICAO에는 통보할 의무가 면제된다.,체약국은 출국하는 국제항공기에 대하여 자국이 지정한 특정 공항에서 출발할 것을 요구할 수 있다.,3,협약 제10조에 따르면 각 체약국은 세관공항의 지정과 변경 사항을 모든 체약국 또는 국제민간항공기구(ICAO)에 통보하여 등록되도록 할 의무가 있다. 면제되지 않는다. 출처: 제10조
9,국제민간항공협약상 항공규칙(Rules of the Air)의 적용과 관련하여 다음 설명 중 가장 적절한 것은?,,각 체약국은 자국 영역 상공을 비행하는 자국 소속 등록 항공기에 대해서만 자국 항공규칙을 준수하도록 할 의무를 지닌다.,영해를 포함한 각 체약국 영역 상공에서는 비행 장소에 관계없이 ICAO가 제정한 규칙이 각국의 국내 규칙에 우선하여 절대적으로 적용된다.,공해(High seas) 상공에서는 영공이 존재하지 않으므로 본 협약에 의거하여 제정된 규칙(Rules of the air)이 강제 적용된다.,체약국은 자국 영역 내에서 비행규칙을 위반한 타국 국적 항공기에 대하여 직접적인 처벌을 내릴 수 없으며 전적으로 등록국 당국에 이관하여야 한다.,3,"협약 제12조에 따르면 공해 상공에서는 협약에 의거하여 확립된 규칙(Rules of the air established under this Convention)이 적용된다. 영역 내에서는 해당국의 국내법이 적용되며, 자국 영공 내 위반자에 대해서는 해당 국가가 사법 처리 권한을 가진다(4번 오답). 출처: 제12조"
10,질병의 확산 방지 의무(Art 14)와 관련하여 체약국이 국제항행에 의해 확산되지 않도록 상호 긴밀히 협의하고 조치를 취하기로 명시된 전염병에 해당하지 않는 것은?,,콜레라(Cholera),발진티푸스(Typhus) 및 천연두(Smallpox),말라리아(Malaria),황열병(Yellow fever) 및 페스트(Plague),3,"협약 제14조에 명시적으로 나열된 전염병은 콜레라(cholera), 발진티푸스(typhus), 천연두(smallpox), 황열병(yellow fever), 페스트(plague) 등이며, 말라리아는 포함되어 있지 않다. 출처: 제14조"
