번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,공항시설법상 공항개발 종합계획의 수립 및 변경과 관련된 숫자의 합은?,"가. 공항개발 종합계획은 ( A )년마다 수립하여야 한다.
나. 권역별 공항 또는 국가의 재정지원 규모가 ( B )억 원 이상인 경우 종합계획에 포함된다.
다. 공항·비행장개발예정지역의 면적이 당초 계획보다 ( C )만 제곱미터 이상 늘어나는 경우 종합계획을 변경하여야 한다.",300,315,325,335,3,"가. 5년마다 수립 (A=5)
나. 국가 재정지원 300억원 이상 (B=300)
다. 20만제곱미터 이상 증가 시 변경 (C=20)
총합: 5+300+20=325 [출처: 공항시설법 제3조, 시행령 제7조]"
2,공항시설법령상 위원회의 위원 수에 대한 규정 중 빈칸 숫자의 합은?,"가. 공항개발기술심의위원회는 위원장을 포함한 ( A )명 이내의 위원으로 구성한다.
나. 기술심의위원회 분야별 소위원회는 위원장 1명을 포함하여 10명 이상 ( B )명 이내의 위원으로 구성한다.
다. 조류충돌예방위원회는 위원장 1명을 포함한 ( C )명 이내의 위원으로 구성한다.",140,150,160,170,3,"가. 기술심의위원회 100명 이내 (A=100)
나. 분야별 소위원회 30명 이내 (B=30)
다. 조류충돌예방위원회 30명 이내 (C=30)
총합: 100+30+30=160 [출처: 공항시설법 제5조, 시행령 제16조, 시행령 제31조의8]"
3,"공항시설법령상 행위제한 및 매수청구와 관련된 기간(월, 년) 숫자의 합은?","가. 공항·비행장개발예정지역으로 지정·고시된 구역에서 물건을 ( A )개월 이상 쌓아놓는 행위는 허가를 받아야 한다.
나. 사업시행자는 토지 매수청구를 받은 날부터 ( B )개월 이내에 매수대상 여부를 알려야 한다.
다. 매수대상토지로 통보를 한 경우 ( C )년 범위에서 대통령령으로 정하는 기간 이내에 매수계획을 수립하여야 한다.",11,12,13,14,2,"가. 1개월 이상 물건 적치 시 허가 (A=1)
나. 매수대상 여부 6개월 이내 통지 (B=6)
다. 5년 이내 매수계획 수립 (C=5)
총합: 1+6+5=12 [출처: 공항시설법 시행령 제20조, 법 제15조]"
4,공항시설법 시행규칙상 장애물 제한표면 기준 수치의 합은?,"가. 비정밀접근 육상비행장(착륙대 등급 A~D) 진입표면 경사도 분모 숫자 ( A )
나. 헬기장의 기본 전이표면 경사도 분모 숫자 ( B )
다. 수평표면의 원호 중심은 활주로 중심선 끝에서 ( C )미터 연장한 지점이다. (육상비행장 기준)",92,102,112,122,2,"가. 비정밀 A~D 진입표면 경사도 1/40 (A=40)
나. 헬기장 전이표면 경사도 1/2 (B=2)
다. 활주로 중심선 끝에서 60m 연장 지점 (C=60)
총합: 40+2+60=102 [출처: 공항시설법 시행규칙 별표 2]"
5,공항시설법 시행규칙상 항공장애 표시등 설치 기준(형태 문자 환산) 숫자의 합은?,"가. 비상용 또는 보안용 차량에 설치하는 저광도 ( A )형태의 파란색 섬광 표시등을 설치해야 한다. (A는 영문자 형식을 A=1, B=2, C=3, D=4 로 환산)
나. 지상유도(Follow-me) 차량에 설치하는 저광도 ( B )형태의 노란색 섬광 표시등을 설치해야 한다. (B도 같은 방식 환산)
다. 지표로부터 높이가 45m 미만인 물체는 원칙적으로 저광도 ( C )형태 표시등을 설치한다. (C도 같은 방식 환산)",7,8,9,10,3,"가. 비상/보안차량: 저광도 C형태 (A=3)
나. 지상유도차량: 저광도 D형태 (B=4)
다. 45m 미만: 저광도 B형태 (C=2)
총합: 3+4+2=9 [출처: 공항시설법 시행규칙 별표 10]"
6,공항시설법령상 조류충돌 예방에 관련된 기한 및 거리 규정의 숫자를 모두 더한 값은?,"가. 공항운영자가 공항별 조류충돌 위험관리계획을 수립하여 보고하는 시한은 매년 ( A )월 ( B )일까지이다.
나. 공항 표점에서 ( C )킬로미터 이내 지역에는 양돈장 및 과수원 등 새를 유인할 환경을 조성해서는 안 된다.",44,46,48,50,2,"가. 매년 12월 31일까지 (A=12, B=31)
나. 공항표점 3km 이내 양돈장 등 불가 (C=3)
총합: 12+31+3=46 [출처: 공항시설법 시행규칙 제19조의8, 제47조제6항]"
7,공항시설법 시행규칙의 설계 및 표지 기준과 관련하여 빈칸 수치의 합은?,"가. 활주로 길이가 800미터 이상 1,200미터 미만인 수상비행장의 착륙대 등급 숫자는 ( A )이다.
나. 분류문자 B인 활주로의 직선유도로의 폭은 ( B )미터이다. (숫자만 사용, 소수점 주의, 문제에서는 B에 10을 곱하여 사용) -> 10.5 * 10 = 105
다. 주간표지 중 연속되는 표면 한 변 길이가 1.5m 초과하고 다른 한 변 4.5m 미만일 때 줄무늬를 칠한다. 이때 최대크기가 210m 초과 270m 이하인 경우 줄무늬 폭은 최대크기의 ( C )분의 1이다.",114,116,118,120,2,"가. 수상비행장 800~1200m 미만은 2등급 (A=2)
나. 분류문자 B의 유도로 폭 10.5m. 10.5*10=105 (B=105)
다. 210~270m 이하 줄무늬 폭 1/9 (C=9)
총합: 2+105+9=116 [출처: 공항시설법 시행규칙 별표 1, 별표 9]"
8,공항시설법 시행규칙상 지상안전관리기준 위반(항공관련업무종사자)에 대한 1차 행정처분 일수의 합은?,"가. 항공관련업무종사자가 제한속도를 시속 10킬로미터 이상으로 초과하여 차량을 운행한 경우 1차 위반 시 운전업무정지 ( A )일의 처분을 받는다.
나. 항공관련업무종사자가 지상안전사고가 발생한 경우에도 즉시 신고하지 않은 경우 1차 위반 시 업무정지 ( B )일의 처분을 받는다.
다. 보호구역에 설치된 교통안전 관련 시설 훼손 시 1차 위반 업무정지 ( C )일이다.",6,7,8,9,3,"가. 10km 이상 초과 1차 운전정지 2일 (A=2)
나. 사고 즉시 미신고 1차 업무정지 5일 (B=5)
다. 교통안전시설 훼손 1차 업무정지 1일 (C=1)
총합: 2+5+1=8 [출처: 공항시설법 시행규칙 별표 4의2]"
9,공항시설법 시행규칙상 수수료 및 무선시설 주파수 기준 관련 숫자의 합은?,"가. 항행안전시설 비행검사 수수료는 비행시간당 ( A )만원이다.
나. 항행안전무선시설 중 무지향표지시설(NDB)의 주파수대역 하한은 ( B )kHz이다.
다. 거리측정시설(DME) 주파수대역 하한은 ( C )MHz이다.",1317,1417,1517,1617,2,"가. 비행검사 수수료 비행시간당 267만원 (A=267)
나. NDB 주파수 190~1750kHz (B=190)
다. DME 주파수 960~1215MHz (C=960)
총합: 267+190+960=1417 [출처: 공항시설법 시행규칙 별표 21, 별표 15]"
10,공항시설법 시행규칙상 공항운영자 행정처분(공항운영정지 일수) 기준 숫자의 합은?,"가. 거짓으로 공항운영증명을 받은 경우 처분은 취소이다. 항공기사고로 200명 이상 사망자가 발생하여 처분을 받을 때 운영정지를 내린다면 그 일수는 ( A )일이다.
나. 항공기사고 사망자가 10명 미만인 경우 처분은 운영정지 ( B )일이다.
다. 항공기사고로 인한 재산 피해가 50억원 이상 100억원 미만인 경우 운영정지 ( C )일이다.",220,230,240,250,2,"가. 사망 200명 이상: 증명취소 또는 운영정지 180일 (A=180)
나. 사망 10명 미만: 운영정지 30일 (B=30)
다. 재산피해 50~100억: 운영정지 20일 (C=20)
총합: 180+30+20=230 [출처: 공항시설법 시행규칙 별표 13]"
11,공항시설법 시행령상 공항운영자에 대한 과징금 금액(만원 단위)의 총합을 구하시오.,"가. 공항운영자의 지상안전관리기준 위반 과징금 중 사업시작 전 SMS 미마련(운항횟수 8만회 이상 공항) 금액은 ( A )만원이다.
나. 고의중과실 사망 200명 이상(운항횟수 8만회 이상 공항) 과징금 금액은 ( B )만원이다.
다. 고의중과실 사망 200명 이상(운항횟수 4만회~8만회 공항) 과징금 금액은 ( C )만원이다.",153000,163000,173000,183000,1,"가. 8만회 이상 SMS 미마련 3,000만원 (A=3000)
나. 8만회 이상 사망 200명 이상 100,000만원(10억원) (B=100000)
다. 4만~8만회 사망 200명 이상 50,000만원(5억원) (C=50000)
총합: 3000+100000+50000=153000 [출처: 공항시설법 시행령 별표 1의2]"
12,공항시설법 시행령상 제재 위반 1차 과태료(만원 단위)의 합은?,"가. 준공확인증명서 수령 전 이착륙장 무단 사용 1차 과태료 ( A )만원
나. 보호구역 흡연/음주 1차 과태료 ( B )만원
다. 공항운영규정 변경 미신고 공항운영자 1차 과태료 ( C )만원",335,345,355,365,1,"가. 이착륙장 무단사용 1차 250만원 (A=250)
나. 보호구역 흡연 1차 25만원 (B=25)
다. 공항운영규정 변경 미신고 1차 60만원 (C=60)
총합: 250+25+60=335 [출처: 공항시설법 시행령 별표 3]"
13,공항시설법령상 조류충돌 인력 및 이행강제금 한도와 관련된 숫자의 합은?,"가. 공항운영자는 조류충돌 예방 전담인력을 ( A )명 이상 확보해야 한다.
나. 이행강제금과 관련, 제36조제8항(표시등 설치명령)을 위반한 경우 이행강제금 상한액은 ( B )천만 원이다. (단위 천만)
다. 제36조제9항(시정명령) 위반 이행강제금 상한액은 ( C )백만 원이다. (단위 백만)",8,9,10,11,3,"가. 전담인력 4명 이상 (A=4)
나. 설치명령 위반 이행강제금 1천만원 이하 (B=1)
다. 시정명령 위반 이행강제금 500만원 이하 (C=5)
총합: 4+1+5=10 [출처: 공항시설법 시행규칙 제19조의6, 법 제70조]"
14,공항시설법 시행규칙상 항행안전시설 전파 규격에 관한 빈칸 수치의 합은?,"가. 항행안전무선시설 중 마커비콘의 외측마커(OM) 전파 도달범위는 600m ± ( A )m 이다.
나. 마커비콘 주파수는 ( B )MHz ± 0.005 퍼센트이다.
다. 트랜스폰더 착륙시설 질문 반송파 송신주파수는 ( C )MHz 이다.",1205,1305,1405,1505,2,"가. OM 도달범위 600m±200m (A=200)
나. 마커비콘 75MHz (B=75)
다. 트랜스폰더 착륙 질문 주파수 1030MHz (C=1030)
총합: 200+75+1030=1305 [출처: 공항시설법 시행규칙 별표 15]"
15,공항시설법 시행규칙상 레이더시설 기술기준과 관련된 숫자의 합은?,"가. 일차감시레이더(ASR) 수신장치 감도는 -( A )dBm 이상이어야 한다.
나. ASR 현시장치는 ( B )초 또는 5초 이내에 새로운 자료를 나타내야 한다.
다. 정밀접근레이더(PAR)는 착륙지점에서 ( C )Km 이상의 범위에 대해 방위각/활공각을 제공해야 한다. (소수점은 무시하고 정수만, 16.7km이므로 16) -> Wait. 규칙에는 ""15Km 이상""이라 명시됨.",127,137,147,157,1,"가. ASR 수신감도 -108dBm 이상 (A=108)
나. 자료 갱신 4초 또는 5초 (B=4)
다. PAR 착륙지점에서 15km 이상 (C=15)
총합: 108+4+15=127 [출처: 공항시설법 시행규칙 별표 15]"
