번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,현행 항공교통관제절차상 레이더 식별(Radar Identification)에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 출발하는 항공기가 관제탑에서 시각으로 식별되어 레이더 안테나로부터 1마일 이내의 활주로 끝에서 이륙하는 항적을 관찰하였을 때 일차레이더(Primary Radar) 식별이 가능하다.
ㄴ. 항공기 조종사에게 30도 이상의 선회를 지시하여 그 항적의 움직임을 관찰함으로써 일차 및 이차레이더 식별이 가능하다.
ㄷ. 관제사가 지정한 식별코드(Discrete Code)를 조종사가 설정하고 정상(Normal) 모드로 작동시키는 것을 관찰하여 이차감시레이더(SSR) 식별이 가능하다.
ㄹ. 조종사에게 트랜스폰더의 식별(IDENT) 기능 작동을 지시하여 전시기에 나타나는 특정 표적을 확인함으로써 SSR 식별이 가능하다.","ㄱ, ㄴ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",4,"[출처: 항공교통관제절차 제5장] 일차레이더 식별방법에는 출발항공기가 활주로 끝 1마일 이내에서 이륙하는 항적 관찰, 지정된 픽스 위를 통과함을 보고하는 항적 관찰, 30도 이상 선회지시에 따른 항적 관찰이 있다. 이차레이더(SSR) 식별방법에는 식별(IDENT) 기능 사용, 지정된 개별코드 설정 관찰, Standby에서 Normal 작동 관찰 등이 모두 포함된다."
2,공항관제(Airport Control) 절차 중 동일 활주로 분리(이륙) 기준에 대한 설명으로 가장 옳지 않은 것은?,,"앞선 항공기가 이륙하여 활주로 교차점을 통과한 경우, 뒤따르는 항공기는 교차 활주로에서 이륙 활주를 시작할 수 있다.","쌍발 소형 프로펠러기(범주 II) 뒤에 단발 소형 프로펠러기(범주 I)가 동일 활주로에서 이륙하는 경우, 앞선 항공기가 3,000피트 이상 전방에 있다면 뒤따르는 항공기의 이륙을 허가할 수 있다.","대형 제트기(범주 III) 뒤에 소형 단발 프로펠러기(범주 I)가 이륙하는 경우, 앞선 항공기가 6,000피트 이상 전방에 있고 공중에 부양했다면 뒤따르는 항공기의 이륙을 허가할 수 있다.",일출 전부터 일몰 후 야간(또는 시계비행기상상태 미만)에는 비거리 분리(Distance Separation)를 적용하지 않고 앞선 항공기가 활주로를 벗어날 때까지 대기시켜야 한다.,2,"[출처: 항공교통관제절차 제3장] 동일 활주로 분리 이륙 기준에서 선행 항공기가 범주 II(쌍발 소형 프로펠러기)이고 후행 항공기가 범주 I 또는 II인 경우 필요한 분리 거리는 4,500피트이다. 3,000피트는 범주 I 뒤에 범주 I이 따를 때 적용된다. 야간에는 활주로 비거리 분리 최저치를 사용할 수 없다."
3,관제권 내 특별시계비행(SVFR)에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 관제권 밖의 지역에 대해서도 조종사의 요청이 있다면 접근관제소 관제사의 인가를 받아 수행할 수 있다.
ㄴ. 주간에 한하여 인가하는 것을 원칙으로 하나, 야간의 경우 조종사가 계기비행 자격을 갖추고 항공기에 계기비행 장비가 탑재된 경우 인가할 수 있다.
ㄷ. 고정익 항공기의 특별시계비행은 비행시정 1,500m 이상인 경우에만 인가할 수 있다.
ㄹ. 특별시계비행을 하는 항공기 상호 간에는 교통정보만 발부하고 조종사 간 시각분리를 적용하여 비행하도록 허가할 수 있다.","ㄱ, ㄴ","ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ",2,"[출처: 항공교통관제절차 제7장] ㄱ. SVFR은 관제권(Control Zone) 내에서만 인가할 수 있다. ㄹ. SVFR 항공기 상호 간에는 수직, 직렬, 측면분리 등 IFR에 준하는 분리를 적용해야 하며, 시각분리는 적용할 수 없다. 고정익 항공기는 비행시정 1,500m 이상이어야 하나 헬리콥터는 1,500m 미만이어도 인가 가능하다."
4,관제사가 항공기에게 속도조절(Speed Control)을 지시할 때 적용하는 최저속도 제한으로 옳지 않은 것은?,,"비행고도(FL) 280 미만, 고도 10,000피트 이상에 있는 터보제트 항공기: 250노트","고도 10,000피트 미만에서 터미널 관제구역을 비행 중인 터보프롭 도착 항공기: 150노트",터미널 관제구역 내 최종접근구간에서 활주로 시단으로부터 20마일 이내에 있는 터보제트 항공기: 170노트,출발(Departure)하는 터보제트 항공기: 230노트,2,"[출처: 항공교통관제절차 제5장] 고도 10,000피트 미만 터미널 도착 터보프롭 항공기의 최저 속도지시는 200노트이다. (최종접근로에 진입한 경우에는 150노트까지 감속 지시 가능). 보기 2번은 최종접근구간 전의 일반 터미널 구역 비행 상황을 명시했으므로 오답이다."
5,시각분리(Visual Separation) 적용 시 관제사의 조치 및 규정으로 가장 적절하지 않은 것은?,,"관제탑 관제사는 두 항공기 모두를 시각으로 식별할 수 있고, 시각분리를 유지할 수 있다고 판단되면 시각분리를 적용할 수 있다.","조종사가 앞서가는 다른 항공기를 시각으로 식별하여 스스로 분리를 유지하겠다고 동의한 경우, 관제사는 당해 조종사에게 앞선 항공기를 따라가도록 지시할 수 있다.","앞서가는 항공기가 슈퍼(Super) 또는 헤비(Heavy) 등급인 경우, 뒤따르는 항공기 조종사가 시각분리 유지를 동의하였다 하더라도 이류난류 분리 최저치는 관제사가 의무적으로 확보해야 한다.","조종사가 타 항공기에 대한 시각분리를 인가받았을 때, 지정된 비행경로를 이탈해야 하는 충돌회피 지시를 조종사가 직접 수행할 수 있도록 허용된 것이다.",3,"[출처: 항공교통관제절차 제7장] 조종사가 시각분리를 수락한 경우, 선행 항공기에 대한 이류난류 회피 책임 역시 조종사에게 이양된다. 따라서 관제사는 의무적으로 이류난류 분리 최저치를 적용할 필요가 없으나, 사전에 이류난류 경고(Wake Turbulence Cautionary Advisory)를 반드시 발부해야 한다."
6,비상상황(Emergency) 발생 시 관제절차에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 비행 중인 조종사가 연료 부족 상태임을 나타내는 'Minimum Fuel'을 선언한 경우, 관제사는 해당 항공기를 즉시 비상항공기로 취급하여 최우선권을 부여해야 한다.
ㄴ. 피납(Hijacking)이 의심되는 항공기가 트랜스폰더 코드를 7500으로 변경한 경우, 관제사는 조종사에게 피납 사실을 명시적으로 재확인하는 무선 교신을 시도하여야 한다.
ㄷ. 관제사는 관할 공역 내의 항공기가 다른 항공기나 지형지물과 충돌할 위험이 있다고 판단되는 경우, 해당 항공기가 어떠한 상황이더라도 비상 관제보다 충돌경고(Safety Alert)를 최우선으로 발부해야 한다.
ㄹ. 조종사가 무선통신 두절(Radio Failure) 시 SSR 코드를 7600으로 설정하고 시계비행기상상태(VMC)에 있을 경우, 조종사는 VFR을 유지하며 착륙해야 한다.","ㄱ, ㄴ","ㄷ, ㄹ",ㄹ,"ㄴ, ㄷ, ㄹ",3,"[출처: 항공교통관제절차 제10장] ㄱ. 'Minimum Fuel'은 비상상태가 아니며 통행 우선권이 부여되지 않는다. ㄴ. 피납(7500) 상황 시, 조종사가 의심받지 않도록 피납 사실을 노골적으로 묻지 않아야 한다. ㄷ. 최우선 업무는 비상항공기 관제이며, 안전경고는 그 다음 우선순위이다. ㄹ. 무선통신 두절 시 VMC에 있다면 VMC를 유지하고 착륙해야 한다."
7,"항적난류 비레이더 분리(Wake Turbulence Non-radar Separation) 최저치 적용 기준으로 올바르게 짝지어진 것은? (단, 이륙 상황 기준)","ㄱ. Super 등급 뒤를 이어 동일 활주로에서 이륙하는 Heavy 등급 항공기
ㄴ. Heavy 등급 뒷따라 활주로 중앙 교차점(Intersection)에서 이륙하는 Small 등급 항공기
ㄷ. Heavy 등급 뒷따라 2,500피트 미만으로 떨어진 평행 활주로에서 이륙하는 Large 등급 항공기","ㄱ: 2분, ㄴ: 3분, ㄷ: 2분","ㄱ: 2분, ㄴ: 4분, ㄷ: 2분","ㄱ: 3분, ㄴ: 3분, ㄷ: 2분","ㄱ: 3분, ㄴ: 4분, ㄷ: 3분",1,"[출처: 항공교통관제절차 제3장] 비레이더 분리 시 선행 항공기가 Heavy/Super인 경우, 동일 활주로 또는 2,500피트 미만의 평행활주로 출발 시 기본 '2분' 분리가 적용된다(ㄱ, ㄷ). 그러나 후행 항공기가 교차점 출발을 하거나 반대방향 이륙 시에는 가중되어 '3분' 분리가 적용된다(ㄴ)."
8,고도계 수정치(Altimeter Setting) 발부와 전이고도(Transition Altitude)에 대한 설명 중 가장 옳지 않은 것은?,,관제탑은 출발하는 모든 IFR 항공기에게 지상이동 허가 또는 출발 인가를 발부할 때 해당 공항의 고도계 수정치를 발부해야 한다.,"터미널 접근관제소는 도착하는 항공기가 전이면(Transition Level) 미만으로 강하하기 전, 혹은 전이공역 진입 시 가장 가까운 기상관측소의 고도계 수정치를 제공해야 한다.","우리나라 비행정보구역(FIR) 내의 전이고도는 14,000피트, 전이면은 비행고도(FL) 140으로 일괄 설정되어 있으므로 기압 변화와 무관하게 전이면은 항상 고정된다.","관제사는 항공기가 전이고도를 통과하여 상승 중일 때, 고도계가 표준대기압으로 설정되어 있는지 확인하기 위해 비행고도(FL)로 고도를 배정하여 지시한다.",3,"[출처: 항공교통관제절차 제2장] 우리나라의 전이고도(Transition Altitude)는 14,000피트이나, 전이면(Transition Level)은 QNH 압력에 따라 변동될 수 있다. 기압이 낮을 경우 FL140 이하 사용이 제한될 수 있으며 기압고도계 수정치에 따라 최저사용가능고도를 조정해야 한다."
9,비행계획서(Flight Plan)의 처리에 관한 관제절차 설명으로 옳은 것을 <보기>에서 모두 고른 것은?,"ㄱ. IFR 비행계획은 조종사가 취소(Cancel IFR) 요청을 하지 않더라도, 시계비행기상상태(VMC)에서 착륙을 완료하면 즉시 취소된 것으로 간주된다.
ㄴ. VFR로 출발하여 IFR로 변경하려는 조종사는 관제권 내에서는 관제탑에, 관제구역 내에서는 접근관제소나 지역관제소에 비행계획을 제출하고 허가를 받아야 한다.
ㄷ. 복합비행계획(Composite Flight Plan)을 제출하여 VFR 구간을 비행 중인 조종사는, IFR 구간 진입 전 IFR 허가를 득하기 위해 사전에 비행계획서 변경을 요구해야 한다.
ㄹ. 방어시계비행(DVFR)을 수행하는 조종사는 이륙 후 최소 1시간 이내에 비행정보실에 이륙시간을 보고해야 한다.","ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,"[출처: 항공교통관제절차 제4장] ㄱ. 통제탑이 있는 공항에 착륙하는 IFR 항공기는 착륙과 동시에 취소되지만, 관제탑이 없는 공항의 경우 착륙 후 조종사가 직접 취소 보고를 해야 한다. ㄹ. DVFR 등 이륙 보고는 이륙 후 최대한 신속히 이루어져야 하며 '1시간 이내' 규정은 없다. ㄴ과 ㄷ은 올바른 절차이다."
10,계기접근을 수행하는 항공기에 대한 레이더 유도(Radar Vectoring) 절차로 가장 옳지 않은 것은?,,"정밀접근(ILS 등)을 위한 최종접근로 유도 시, 관제사는 원칙적으로 접근관문(Approach Gate) 밖 2마일 이상 떨어진 지점에서 최종접근경로로 진입하도록 유도해야 한다.","조종사가 활주로나 선행 항공기를 시각으로 확인하여 '시각접근(Visual Approach)'을 요구할 경우, 관제사는 계기기상상태(IMC)이더라도 해당 접근을 허가할 수 있다.","비정밀접근(VOR, NDB 등)을 위해 유도할 때, 항공기가 최종접근코스를 요격(Intercept)하는 각도는 30도를 초과하지 않도록 하는 것이 원칙이다.","레이더 유도 중인 항공기에게는 최저안전고도(MVA) 이상을 유지하도록 고도 지시를 해야 하나, 최종접근픽스(FAF)를 통과하여 인가된 접근절차를 수행 중일 때는 예외로 한다.",2,"[출처: 항공교통관제절차 제5장 및 제7장] 시각접근(Visual Approach)은 반드시 시계비행기상상태(VMC) 하에서만 인가할 수 있다(운고 1,000피트 이상, 시정 3마일 이상). 계기기상상태(IMC)에서는 활주로를 일시적으로 보았더라도 인가할 수 없다."
