번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,에어택싱(Air-taxiing)에 대한 설명으로 가장 옳지 않은 것은?,,회전익항공기 또는 수직이착륙항공기가 지표면 효과를 이용하여 비행하는 기동형태를 말한다.,일반적으로 대지속도 37km/h(20kt) 미만으로 비행장 지표 상공을 이동하는 것을 의미한다.,실제 에어택싱 고도는 운항별로 달라질 수 있으나 규정상 지상고도(AGL) 8m(25ft) 이하로 제한된다.,일부 회전익항공기의 경우 화물운송을 위해 지상고도(AGL) 8m(25ft) 이상으로 에어택싱을 요청할 수 있다.,3,"해설: 항공교통업무기준 제5조(정의) 제6의2호에 따르면, 실제 고도는 운항별로 달라질 수 있으며, 지면 효과 감소나 화물운송을 위해 지상고도 8m(25ft) 이상으로 에어택싱을 요청할 수도 있다고 명시되어 있으므로 이를 이하로 제한한다는 설명은 틀림. (출처: 제5조)"
2,다음 중 공시수용량(Declared capacity)을 결정할 때 반드시 고려해야 하는 요소가 아닌 것은?,,해당 공역을 담당하는 관제사의 업무량,항공교통관제(ATC) 시스템 및 하위 시스템의 능력,항공기에 탑재된 공중충돌경고장치(ACAS)의 성능,기상 및 항공교통관제시설 구성(configuration),3,"해설: 제5조 제8의2호에 따르면 공시수용량은 ATC 시스템, 가용 인력 및 장비, 관제사 업무량, 기상 등을 고려하여 결정하며, 항공기 탑재 ACAS 성능은 공시수용량 결정의 직접적 고려 요소가 아님. 또한 제9조 제2항에서도 ATS 제공 필요성 결정 시 ACAS를 고려해서는 안 된다고 명시함. (출처: 제5조, 제9조)"
3,관제비행장'에 대한 설명으로 옳은 것은?,,비행장교통에 대하여 항공교통관제업무를 제공하는 비행장을 말하며 반드시 관제권이 설정되어 있어야 한다.,비행장교통에 대하여 항공교통관제업무가 제공됨을 나타내며 이는 관제권의 존재 여부와 직결된다.,항공교통관제업무가 비행장교통에 제공됨을 나타낼 뿐이지 관제권이 존재한다는 것을 의미하지는 않는다.,관제구가 설정된 공역 내에 위치하여 계기비행 항공기에게만 관제업무를 제공하는 비행장을 말한다.,3,"해설: 제5조 제13호에 따르면 관제비행장은 비행장교통에 대하여 관제업무를 제공하는 비행장을 의미하며, 이는 관제권이 존재한다는 것을 의미하지는 않는다고 명시되어 있음. (출처: 제5조)"
4,"항공정보 지도 자료의 무결성 등급(Integrity classification)에 대한 설명 중, <보기>의 ( )에 들어갈 용어를 순서대로 나열한 것은?","1. ( 가 ): 손상된 자료 사용 시 안전비행에 심각한 위험을 초래하여 대형사고 발생 개연성이 아주 낮은 자료
2. ( 나 ): 손상된 자료 사용 시 안전비행에 심각한 위험을 초래하여 대형사고 발생 개연성이 낮은 자료
3. ( 다 ): 손상된 자료 사용 시 안전비행에 심각한 위험을 초래하여 대형사고 발생 개연성이 높은 자료",가: 필수자료 - 나: 일반자료 - 다: 중요자료,가: 일반자료 - 나: 필수자료 - 다: 중요자료,가: 일반자료 - 나: 중요자료 - 다: 필수자료,가: 중요자료 - 나: 필수자료 - 다: 일반자료,2,"해설: 제5조 제105호에 따라 개연성이 아주 낮은 것은 '일반자료', 낮은 것은 '필수자료', 높은 것은 '중요자료'로 분류함. (출처: 제5조)"
5,항공교통업무기준에서 사용하는 용어의 정의 중 옳지 않은 것은?,,순항고도(Cruising level): 비행의 대부분의 기간 동안 유지하는 고도를 말한다.,항적(Track): 지구표면상에 투영된 항공기 궤적을 말하며 북쪽으로부터의 각도로 표시한다.,자북(Magnetic North): 진북으로부터 자침의 편차를 수정한 북쪽 방향을 말한다.,허가한계점(Clearance limit): ATC 허가에 따라 항공기의 진행이 보장되는 특정 지점을 말한다.,3,해설: 제5조 제56호에 따르면 '자북'은 단순히 자침이 가리키는 북쪽 방향을 말함. 진북과의 편차를 수정한 것은 진북 관련 개념임. (출처: 제5조)
6,항공교통관제시설의 관제사 근무 및 휴식과 관련된 정의로 옳지 않은 것은?,,"근무(Duty): 관제업무시간, 행정업무, 훈련, 교대 브리핑, 근무 대기 등을 모두 포함한다.",근무시간(Duty Period): 근무보고를 하거나 근무를 시작한 때부터 모든 근무가 끝날 때까지의 시간이다.,"관제업무시간(Time-in-position): 관제사가 근무석에서 허가, 지시 및 비행정보제공 등의 업무를 제공한 시간이다.",휴무시간(Non-duty Period): 관제사의 근무시간 외의 시간으로 최소 8시간 이상의 지속적인 시간을 말한다.,4,"해설: 제5조 제111호에 따르면 '휴무시간'은 관제사의 근무시간 외의 지속적이며 한정된 시간을 말하며, 정의 규정 자체에 '8시간 이상'이라는 특정 수치는 명시되어 있지 않음. (출처: 제5조)"
7,항공교통업무의 목적(Objectives of the ATS)에 해당하지 않는 것을 모두 고른 것은?,"가. 항공기 간의 충돌방지
나. 기동지역 안에서 항공기와 장애물 간의 충돌 방지
다. 계류장 내에서 항공기 간의 충돌 방지
라. 항공교통흐름의 질서유지 및 촉진
마. 수색·구조 필요 항공기에 대한 정보 제공 및 협조",다,가·나·라,다·마,가·나·다·라·마,1,"해설: 제7조(항공교통업무의 목적)에는 항공기 간 충돌방지, 기동지역 내 충돌방지, 질서유지, 조언 및 정보제공, 수색구조 협조가 명시되어 있으나 '계류장 내 충돌방지'는 명시적 목적에 포함되지 않음(계류장은 이동지역에는 포함되나 기동지역에서는 제외됨). (출처: 제7조)"
8,항공교통업무 매뉴얼 수립 및 확인에 관한 설명으로 옳지 않은 것은?,,항공교통업무 집행총괄기관은 별표 1 및 ICAO Doc 7030을 검토하여 적용 가능한 절차를 선정하여야 한다.,항공교통업무 집행총괄기관은 매뉴얼을 수립하거나 변경하려는 경우 국토교통부장관에게 제출하여야 한다.,국토교통부장관은 제출받은 매뉴얼에 대하여 보완을 요청할 수 있다.,국토교통부장관은 제출받은 매뉴얼을 승인(Approval)하여야 하며 승인 전까지는 사용할 수 없다.,4,"해설: 제8조의2 제3항에 따르면 국토교통부장관은 제출받은 매뉴얼을 '확인(acceptance)'하는 것이며, 법령상 용어는 '승인'이 아님. (출처: 제8조의2)"
9,국토교통부장관이 제공할 항공교통업무를 결정할 때 고려해야 하는 사항이 아닌 것은?,,관련 항공교통의 항공기 종류,항공교통량,기상상태,항공기에 탑재된 공중충돌경고장치(ACAS)에 관한 사항,4,해설: 제9조 제2항에 따라 항공기에 탑재된 ACAS에 관한 사항을 고려하여 결정해서는 안 됨. (출처: 제9조)
10,항공교통업무 공역 및 관제비행장의 지정에 관한 설명으로 옳은 것은?,,관제구 및 관제권은 시계비행규칙(VFR)으로 비행하는 항공기에게만 관제업무를 제공하기 위한 공역이다.,"VFR 항공기에게 관제업무를 제공하는 구역은 A, B, C 등급 공역으로 지정한다.",비행정보구역 내에 설정되는 관제권은 해당 비행정보구역의 일부분을 구성하여야 한다.,관제비행장은 관제권 내에 위치한 비행장만을 의미하며 비관제공역에는 존재할 수 없다.,3,"해설: 제10조 제2항 제2호 나목에 따라 비행정보구역 내 관제구, 접근관제구역, 관제권은 해당 비행정보구역의 일부분을 구성함. 1번은 IFR 위주, 2번은 B, C, D 등급, 4번은 관제권 존재 여부와 무관함. (출처: 제10조)"
