번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
1,이륙하는 항공기가 지면에서 이륙 활주를 수행하는 데 적합하도록 지정된 활주로의 길이를 의미하는 공시거리(Declared Distances)는?,TODA (이륙가용거리),TORA (이륙활주가용거리),ASDA (가속정지가용거리),LDA (착륙가용거리),RESA (종단안전구역),2,TORA(Take-Off Run Available)는 항공기가 지면에서 이륙 활주를 하는 데 적합하다고 공시된 활주로의 길이입니다.
2,TORA(이륙활주가용거리)에 개방구역(Clearway)의 길이를 더한 공시거리의 명칭은?,TODA (이륙가용거리),ASDA (가속정지가용거리),LDA (착륙가용거리),CWY (개방가용거리),SWY (정주가용거리),1,TODA(Take-Off Distance Available)는 TORA에 항공기가 초기 상승할 수 있는 개방구역(Clearway)을 더한 길이입니다.
3,이륙을 포기할 경우 항공기가 안전하게 정지할 수 있도록 TORA에 정주대(Stopway)를 더한 길이는?,TODA,ASDA (가속정지가용거리),LDA,RESA,CWY,2,ASDA(Accelerate-Stop Distance Available)는 TORA에 이륙 단념 시 멈출 수 있는 정주대(Stopway) 길이를 더한 것입니다.
4,"활주로 시단이 이설(Displaced)된 경우, 착륙가용거리(LDA)는 어떻게 계산되는가?",전체 활주로 길이와 동일하다.,전체 활주로 길이에서 이설된 시단만큼의 거리를 뺀 길이이다.,TORA에 착륙대를 더한 길이이다.,ASDA와 항상 동일하게 산정된다.,개방구역 길이를 더하여 산정한다.,2,"LDA(Landing Distance Available)는 항공기가 착륙하여 활주하는 데 가용한 거리로, 이설시단이 있을 경우 그만큼 거리가 줄어듭니다."
5,포장 강도를 나타내는 ACN-PCN 시스템에서 PCN 코드 '80 / R / B / W / T' 중 'R'이 의미하는 것은?,연성 포장 (Flexible Pavement),강성 포장 (Rigid Pavement),노상 강도 중간 (Medium),타이어 압력 무제한,기술적 평가 (Technical Evaluation),2,"포장 형식에서 'R'은 강성 포장(콘크리트 등), 'F'는 연성 포장(아스팔트 등)을 의미합니다."
6,공항 이동지역 내에서 항공기나 차량이 충돌할 위험이 높거나 활주로 침범 이력이 있어 특별한 주의가 요구되는 특정 지점은?,블라인드 스팟 (Blind Spot),블랙홀 (Black Hole),핫스팟 (Hot Spot),레드존 (Red Zone),크리티컬 에어리어 (Critical Area),3,핫스팟(Hot Spot)은 교차로 등 지형이 복잡하거나 과거 사고/침범이 발생하여 조종사와 운전자에게 특별한 주의가 요구되는 구역입니다.
7,"활주로 끝에 유도로가 연결되어 있지 않아, 착륙한 항공기가 활주로 상에서 180도 회전할 수 있도록 활주로 주변에 인접하여 확장해 놓은 구역은?",유도 대기구역 (Holding Bay),개방구역 (Clearway),제방빙 패드 (De-icing Pad),활주로 선회패드 (Runway Turn Pad),정주대 (Stopway),4,활주로 선회패드는 유도로가 없는 활주로 끝단 등에서 항공기가 안전하게 180도 방향을 전환할 수 있도록 만든 포장 구역입니다.
8,지상 교통의 흐름을 원활하게 하기 위해 유도로 상에서 항공기가 잠시 대기하거나 다른 항공기를 교행시킬 수 있도록 만든 구역은?,정주대 (Stopway),유도 대기구역 (Holding Bay),개방구역 (Clearway),RESA,활주로 선회패드,2,유도 대기구역(Holding bay)은 병목 현상을 방지하고 관제 효율을 높이기 위해 유도로 주변에 항공기가 대기할 수 있게 만든 공간입니다.
9,"장애물 없는 구역(OFZ, Obstacle Free Zone)을 구성하는 표면이 아닌 것은?",내부진입표면,내부전이표면,착륙복행표면,원추표면,모두 OFZ의 구성요소이다.,4,"OFZ는 정밀접근(CAT-I, II, III) 시 복행하는 항공기를 보호하기 위한 공간으로 내부진입, 내부전이, 착륙복행표면으로 구성되며 원추표면은 포함되지 않습니다."
10,"착륙대나 OFZ 등 비행안전구역 내에 불가피하게 설치되어야 하는 항행안전시설(예: PAPI, 계기착륙시설 안테나 등)이 갖추어야 할 필수적인 구조적 특성은?",초고강도 철골 구조,지하 매립형 구조,부러지기 쉬운 구조 (Frangibility),충격 반사형 탄성 구조,방염 및 내화 구조,3,"항공기 충돌 시 항공기의 피해를 최소화하고 안전을 보장하기 위해, 해당 시설물은 쉽게 부러지거나 휘어지는 연성(Frangible) 구조로 설계되어야 합니다."
