번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,초경량비행장치의 기준에 관한 설명으로 가장 옳지 않은 것은?,,동력비행장치의 자체중량은 115킬로그램 이하이어야 한다.,전기모터에 의한 동력을 이용하는 동력비행장치의 자체중량에는 배터리의 중량이 포함된다.,전기모터에 의한 동력을 이용하는 동력비행장치는 연료의 탑재량이 19리터 이하일 것의 요건을 적용받지 않는다.,동력비행장치는 조종사 1명과 승객 1명 등 탑승인원이 2인 이하일 것을 요구한다.,4,"항공안전법 시행규칙 제5조(초경량비행장치의 기준)제1호다목에 따르면, 초경량비행장치 중 동력비행장치는 좌석이 '1개'이어야 한다. 2인 이하 탑승 조건은 옳지 않다."
2,경량항공기의 기준(요건)에 대한 설명으로 가장 옳지 않은 것은?,,최대이륙중량이 600킬로그램(수상비행에 사용하는 경우에는 650킬로그램) 이하일 것,최대 실속속도 또는 최소 정상비행속도가 120노트 이하일 것,조종사 좌석을 포함한 탑승 좌석이 2개 이하일 것,조종석은 여압이 되지 아니할 것,2,항공안전법 시행규칙 제4조(경량항공기의 기준)제2호에 따르면 경량항공기의 최대 실속속도 또는 최소 정상비행속도는 '45노트 이하'이어야 한다. 120노트가 아니므로 오답이다.
3,항공기사고 등에 따른 사망·중상의 적용기준에 대한 설명으로 옳지 않은 것은?,,승객 및 승무원이 정상적으로 접근할 수 없는 장소에 숨어있는 밀항자 등에게 발생한 사망은 항공기사고에 따른 사망으로 적용하지 않는다.,자연적인 원인 또는 자기 자신이나 타인에 의하여 발생된 사망이나 중상은 적용기준에서 제외한다.,"항공기사고, 경량항공기사고 또는 초경량비행장치사고가 발생한 날부터 60일 이내에 그 사고로 사망한 경우를 사망의 범위에 포함한다.","골절(코뼈, 손가락, 발가락 등의 간단한 골절은 제외한다)은 중상의 범위에 포함된다.",3,항공안전법 시행규칙 제7조(사망·중상의 범위)제1항에 따르면 사람의 사망은 사고가 발생한 날부터 '30일 이내'에 그 사고로 사망한 경우를 포함한다. 60일이 아니므로 3번이 옳지 않다.
4,공공목적으로 긴급히 운항하는 '긴급운항'의 범위에 포함되지 않는 업무는?,,소방 업무에 사용되는 항공기를 이용한 재해·재난의 예방,응급환자를 위한 장기 이송,산림보호사업을 위한 화물 수송,세관 업무에 사용되는 항공기를 이용한 밀수 단속 및 감시,4,"항공안전법 시행규칙 제11조(긴급운항의 범위)에 따르면 긴급운항의 범위에는 소방·산림 또는 자연공원 업무 등에 사용되는 항공기를 이용한 재해·재난 예방, 장기 이송, 산림 방제·순찰, 산림보호사업을 위한 화물 수송 등이 규정되어 있으며, 세관 업무는 명시되어 있지 않다."
5,항공기의 등록부호 표시에 관한 설명으로 옳지 않은 것은?,,"비행기의 주 날개에 등록부호를 표시하는 경우, 오른쪽 날개 윗면과 왼쪽 날개 아랫면에 표시하여야 한다.",국적기호는 로마자의 대문자 'HL'로 표시하여야 한다.,등록기호의 첫 글자가 문자인 경우에는 국적기호와 등록기호 사이에 붙임표(-)를 삽입하여야 한다.,비행기와 활공기의 주 날개에 표시하는 경우 문자와 숫자의 높이는 30센티미터 이상이어야 한다.,4,"항공안전법 시행규칙 제15조(등록부호의 높이)제1호가목에 따르면, 비행기와 활공기의 주 날개에 표시하는 등록부호 문자와 숫자의 높이는 '50센티미터 이상'이어야 한다."
6,형식증명승인을 위한 검사의 일부 생략에 대한 설명이다. 괄호 안에 들어갈 내용으로 옳은 것은?,해당 국가로부터 형식증명을 받을 당시에 특수기술기준(Special Condition)이 적용된 경우로서 형식증명을 받은 기간이 ( )이/가 지나지 아니한 경우에는 형식증명승인을 위한 검사의 일부를 생략할 수 없다.,1년,3년,5년,10년,3,항공안전법 시행규칙 제27조(형식증명승인을 위한 검사 범위)제2항 단서에 따르면 특수기술기준이 적용된 경우로서 형식증명을 받은 기간이 '5년'이 지나지 아니한 경우에는 검사의 일부를 대체하여 생략할 수 없다.
7,"특별감항증명의 대상(항공기의 연구, 개발 등)에 해당하지 않는 것은?",,항공기 제작자 및 항공기 관련 연구기관 등이 연구·개발 중인 경우,수입하거나 수출하기 위하여 승객·화물을 싣지 아니하고 비행하는 경우,정비·수리 또는 개조를 위한 장소까지 승객·화물을 싣고 비행하는 경우,조종사 양성을 위하여 조종연습에 사용하는 경우,3,"항공안전법 시행규칙 제37조(특별감항증명의 대상)제2호나목에 따르면, 정비·수리 또는 개조를 위한 장소까지 비행하는 경우에는 승객·화물을 '싣지 아니하고' 비행하는 경우에 한하여 특별감항증명의 대상이 된다."
8,"의무보고 대상 항공안전장애가 발생했을 때, 해당 보고서의 제출 기한에 대한 설명으로 가장 옳지 않은 것은?",,항공기사고 및 항공기준사고의 보고서 제출 기한은 '즉시'이다.,일반적인 항공안전장애(별표 20의2 제1호~4호 등)는 원칙적으로 장애 발생을 안 때부터 72시간 이내에 보고서를 제출하여야 한다.,"별표 20의2 제5호에 해당하는 의무보고 대상 항공안전장애의 경우, 발생을 안 때부터 96시간 이내에 보고서를 제출해야 한다.","보고 기한 시간 산정 시, 해당 기간에 포함된 토요일 및 법정공휴일에 해당하는 시간은 기한에 모두 포함하여 엄격하게 계산한다.",4,항공안전법 시행규칙 제134조(항공안전 의무보고의 절차 등)제4항에 따르면 항공안전장애 보고기한(72시간 또는 96시간)을 산정할 때 해당 기간에 포함된 '토요일 및 법정공휴일에 해당하는 시간은 제외'한다.
9,조종연습생등의 신체적·정신적 상태 저하 신고에 관한 설명으로 가장 옳지 않은 것은?,,수술 또는 침습적 시술이 필요한 경우는 신체적·정신적 상태의 저하 신고 대상에 해당한다.,21일 이상의 치료가 필요한 질병 또는 부상이 발생한 경우 신고하여야 한다.,상태 저하를 신고하려는 사람은 발병일 또는 진단일 중 늦은 날부터 30일 이내에 신고서를 제출하여야 한다.,입원이 필요한 경우 신체적·정신적 상태 저하 신고 대상에 해당한다.,3,"항공안전법 시행규칙 제96조의3(신체적·정신적 상태 저하 신고)제2항에 따르면, 발병일 또는 진단일 중 늦은 날부터 '7일 이내'에 한국항공우주의학협회에 신고서를 제출해야 한다."
10,전문항공교통관제사 자격증명을 가진 자에 대한 기량 심사 중 '최초의 정기 심사 이후 실시하는 정기 심사'의 주기로 가장 옳은 것은?,,직전의 심사에 합격한 날부터 1년이 되는 날이 속하는 달의 말일까지의 기간 중 1회,직전의 심사에 합격한 날부터 2년이 되는 날이 속하는 달의 말일까지의 기간 중 1회,직전의 심사에 합격한 날부터 3년이 되는 날이 속하는 달의 말일까지의 기간 중 1회,직전의 심사에 합격한 날부터 5년이 되는 날이 속하는 달의 말일까지의 기간 중 1회,2,"항공안전법 시행규칙 제90조의2(전문항공교통관제사에 대한 기량 심사 등)제2항제1호나목에 따르면, 최초 정기 심사 이후 실시하는 정기 심사는 '직전의 심사에 합격한 날부터 2년이 되는 날이 속하는 달의 말일까지의 기간 중 1회'이다."
