번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,현행 항공사업법령상 국제항공운송사업(여객)의 면허기준으로 옳은 것은?,,법인은 납입자본금 50억원 이상일 것,개인은 자산평가액 150억원 이상일 것,법인은 납입자본금 150억원 이상일 것,개인은 자산평가액 100억원 이상일 것,3,"[출처: 항공사업법 시행령 별표 1] 국제항공운송사업(여객)의 면허기준 중 자본금 또는 자산평가액 기준은 '가. 법인: 납입자본금 150억원 이상일 것, 나. 개인: 자산평가액 200억원 이상일 것'이다. 국내항공운송사업의 경우 법인은 50억원 이상이다."
2,현행 항공사업법령상 항공운송사업자에 대한 행정처분기준의 일반기준에 대한 설명으로 옳지 않은 것은?,,위반행위가 둘 이상인 경우에는 그에 해당하는 각각의 처분기준이 다른 경우에는 그 중 무거운 처분기준에 따른다.,위반행위가 둘 이상이고 그 처분기준이 모두 사업정지인 경우에는 그 정지기간 중 가장 긴 기간만을 적용한다.,"사업의 전부정지 또는 일부정지의 경우 처분 기준일수를 2분의 1의 범위에서 늘릴 수 있으나, 이 경우에도 그 기간은 6개월을 초과할 수 없다.",항공기가 1대인 사업자의 면허 또는 등록의 취소를 경감하는 경우에는 90일 이상의 사업 전부정지를 해야 한다.,2,"[출처: 항공사업법 시행규칙 별표 1] 1. 일반기준에 따르면, 위반행위가 둘 이상이고 둘 이상의 처분기준이 모두 사업정지인 경우에는 '그 정지기간을 합산한다'고 규정하고 있다. 가장 긴 기간만 적용하는 것이 아니다."
3,"현행 항공사업법령상 항공사업의 결격사유와 관련된 외국인 지분 제한이 적용되지 않는(즉, 외국인이 지분의 2분의 1 이상을 소유하여도 사업을 영위할 수 있는) 사업은?",,국내항공운송사업,국제항공운송사업,소형항공운송사업,항공레저스포츠사업,4,"[출처: 항공사업법 제9조, 제41조, 제45조, 제51조] 외국인, 외국법인 또는 외국인이 주식이나 지분의 2분의 1 이상을 소유한 법인 등은 항공운송사업(국내, 국제, 소형) 및 항공기사용사업의 면허나 등록을 받을 수 없다. 그러나 항공레저스포츠사업, 항공기취급업, 항공기대여업, 초경량비행장치사용사업 등은 이러한 외국인 지분 제한의 적용을 받지 않는다."
4,"현행 항공사업법령상 과태료 부과기준 중, 요금표 등을 갖춰 두지 않은 경우의 1회 위반 시 과태료 금액으로 옳은 것은?",,150만원,250만원,300만원,500만원,1,"[출처: 항공사업법 시행령 별표 3] 요금표 등을 갖춰 두지 않은 경우 과태료는 1회 150만원, 2회 300만원, 3회 이상 500만원이다. 참고로 '거짓 사항을 적은 요금표 등을 갖춰 둔 경우'의 1회 위반 과태료는 250만원이다."
5,현행 항공사업법령상 항공운송사업 면허의 결격사유에 해당하여 법인의 면허를 취소하여야 하는 사유의 예외 요건으로 옳은 것은?,,"법인의 임원 중 피성년후견인 또는 피한정후견인이 있는 경우, 해당 사유가 발생한 날부터 1개월 이내에 그 임원을 개임(改任)한 경우","법인의 임원 중 피성년후견인 또는 피한정후견인이 있는 경우, 해당 사유가 발생한 날부터 2개월 이내에 그 임원을 개임(改任)한 경우","법인의 임원 중 피성년후견인 또는 피한정후견인이 있는 경우, 해당 사유가 발생한 날부터 3개월 이내에 그 임원을 개임(改任)한 경우","법인의 임원 중 피성년후견인 또는 피한정후견인이 있는 경우, 해당 사유가 발생한 날부터 6개월 이내에 그 임원을 개임(改任)한 경우",3,"[출처: 항공사업법 제28조] 결격사유에 해당하게 된 경우 면허를 취소하여야 하나, 법인의 임원 중 결격사유에 해당하는 자가 있는 경우로서 그 사유가 발생한 날부터 '3개월' 이내에 그 임원을 개임한 경우에는 면허를 취소하지 아니한다."
6,현행 항공사업법령상 국내항공운송사업 및 국제항공운송사업의 운송약관에 관한 설명으로 옳은 것은?,,국내항공운송사업자는 운송약관을 정하여 국토교통부장관의 인가를 받아야 한다.,"국제항공운송사업자는 여객 및 화물에 관한 운송약관을 정하여 국토교통부장관에게 신고하여야 하나, 이를 변경할 때는 인가를 받아야 한다.","국내 및 국제항공운송사업자는 운송약관을 정하여 국토교통부장관에게 신고하여야 하며, 이를 변경하려는 경우에도 또한 같다.",국제항공운송사업 중 화물운송에 관한 운송약관은 국토교통부장관의 인가 대상이다.,3,[출처: 항공사업법 제14조] 국내항공운송사업 및 국제항공운송사업의 면허를 받은 자는 운송약관을 정하여 국토교통부장관에게 신고하여야 한다. 이를 변경하려는 경우에도 신고하여야 한다.
7,"현행 항공사업법령상 국내항공운송사업자가 여객운임 및 요금을 정하려는 경우, 적용 예정일 며칠 전까지 예고하여야 하는가?",,10일,14일,20일,30일,3,"[출처: 항공사업법 제14조, 동법 시행규칙 제15조] 국내항공운송사업자는 운임 및 요금을 정하거나 변경하려는 경우 적용 예정일 '20일 이상' 예고하여야 한다."
8,현행 항공사업법령상 '소형항공운송사업'의 정의에서 운송에 사용되는 항공기의 여객좌석 수 기준으로 옳은 것은?,,여객좌석 수 30석 이하,여객좌석 수 50석 이하,여객좌석 수 70석 이하,여객좌석 수 90석 이하,2,"[출처: 항공사업법 제2조, 동법 시행규칙 제2조] '소형항공운송사업'이란 타인의 수요에 맞추어 여객좌석 수 50석 이하의 여객좌석을 가진 항공기를 사용하여 유상으로 여객이나 화물을 운송하는 사업을 말한다."
9,현행 항공사업법령상 사업의 휴업 및 폐업에 관한 설명 중 가장 옳지 않은 것은?,,항공운송사업자는 그 사업을 휴업하거나 폐업하려면 국토교통부장관에게 미리 신고하여야 한다.,항공운송사업의 휴업기간은 6개월을 초과할 수 없는 것이 원칙이다.,천재지변 등 정당한 사유가 있어 국토교통부장관의 허가를 받은 경우에는 휴업기간 6개월을 초과할 수 있다.,국내항공운송사업자가 폐업을 하려는 경우 폐업 예정일 1개월 전까지 국토교통부장관에게 인가를 받아야 한다.,4,[출처: 항공사업법 제23조] 항공운송사업의 휴업 및 폐업은 국토교통부장관에 대한 '신고' 사항이며 '인가' 사항이 아니다.
10,현행 항공사업법령상 항공운송사업자에 대한 사업정지처분을 갈음하여 부과할 수 있는 과징금의 최고 한도액은 얼마인가?,,10억원,20억원,50억원,100억원,4,[출처: 항공사업법 제29조] 국토교통부장관은 항공운송사업자가 사업정지처분에 해당하는 위반행위를 하여 사업정지가 공익에 현저한 지장을 줄 우려가 있는 경우 그 사업정지처분을 갈음하여 '100억원' 이하의 과징금을 부과할 수 있다.
11,현행 항공사업법령상 국제항공운송사업자가 항공운임 등 총액을 제공하지 않거나 거짓으로 제공한 경우 1회 위반 시 과태료 금액은?,,150만원,250만원,400만원,500만원,3,"[출처: 항공사업법 시행령 별표 3] 국제항공운송사업자 및 외국인 국제항공운송사업자가 항공운임 등 총액을 제공하지 않거나 거짓으로 제공한 경우 1회 위반 시 과태료는 400만원이다. (2회 500만원, 3회 이상 500만원)"
12,"현행 항공사업법령상 인가가 아닌 '신고'만으로 적법하게 수행할 수 있는 것은? (단, 예외적인 협정 등은 고려하지 않음)",,국제항공운송사업의 노선 신설,항공운송사업 법인의 합병,국내항공운송사업의 여객 운송약관 제정,국제항공운송사업자 간의 공동운항(Code Share) 협정 체결,3,"[출처: 항공사업법 제14조, 제16조, 제26조] 국내항공운송사업의 운송약관 제정 및 변경은 국토교통부장관에게 '신고'하는 사항이다. 반면 국제노선 신설, 법인의 합병, 공동운항 협정 제휴 등은 국토교통부장관의 인가 사항이다."
13,현행 항공사업법령상 국제항공운송사업자의 운수권 회수와 관련된 요건으로 빈칸에 알맞은 것은?,국토교통부장관은 배분받은 운수권을 연간 (   )주 이상 사용하지 아니한 경우 해당 운수권을 회수할 수 있다.,10,15,20,24,3,"[출처: 항공사업법 제17조, 동법 시행규칙 제20조] 배분받은 운수권을 연간 '20주' 이상 사용하지 아니한 경우에는 그 운수권을 회수할 수 있다. 단, 천재지변 등 불가항력적 사유는 제외된다."
14,현행 항공사업법령상 '초경량비행장치 사용사업'을 등록하려는 자가 등록신청서를 제출해야 하는 관할 행정청으로 옳은 것은?,,국토교통부장관,지방항공청장,한국교통안전공단 이사장,시·도지사,2,"[출처: 항공사업법 제48조, 동법 시행령 제62조] 초경량비행장치 사용사업의 등록 업무는 국토교통부장관의 권한이나, 시행령 제62조에 따라 관할 지방항공청장에게 위임되어 있으므로 실제 등록신청서는 지방항공청장에게 제출하여야 한다."
15,현행 항공사업법령상 '항공레저스포츠사업'에 포함되지 않는 것은?,,경량항공기를 사용하여 사람을 태워 비행하는 사업,초경량비행장치를 사용하여 곡예비행을 하는 사업,타인에게 유상으로 경량항공기를 대여하는 사업,경량항공기를 사용한 조종교육 사업,3,"[출처: 항공사업법 제2조, 제45조, 제48조] 타인에게 유상으로 항공기등(경량항공기 포함)을 대여하는 사업은 '항공기대여업'으로 분류되며, '항공레저스포츠사업'과는 구별된다. 항공레저스포츠사업은 조종교육, 체험비행, 경관조망 목적의 비행 등을 포함한다."
16,현행 항공사업법령상 항공교통이용자 보호를 위한 조치로 가장 옳지 않은 것은?,,"항공운송사업자는 수하물 분실, 지연 등에 대한 피해구제절차를 마련해야 한다.",외국인 국제항공운송사업자도 국내 공항을 출발하는 승객에 대한 피해구제계획을 수립해야 한다.,"항공운송사업자는 항공기 지연이나 결항이 예상되는 경우, 공항에 도착한 승객에게만 그 사유를 안내하면 족하다.",국토교통부장관은 항공교통이용자 보호를 위하여 매년 항공교통서비스를 평가하여 발표하여야 한다.,3,"[출처: 항공사업법 제61조의2, 동법 시행규칙 제62조의2] 항공운송사업자는 항공기 지연이나 결항 등이 발생하는 경우 전화, 문자메시지 등을 통하여 승객에게 사전에 지연 및 결항 사유, 진행상황 등을 안내하여야 한다. 공항에 도착한 승객에게만 안내하는 것으로 족하지 않다."
17,현행 항공사업법령상 면허 취소 등에 관한 규정 중 옳지 않은 것은?,,국토교통부장관은 면허를 취소하려면 청문을 하여야 한다.,외국인 국제항공운송사업자가 해당 국가에서 비행허가가 취소된 경우 국토교통부장관은 그 허가를 취소하여야 한다.,사업정지처분을 갈음하여 부과하는 과징금을 기한 내에 내지 아니하면 국토교통부장관은 과징금 부과처분을 취소하고 사업정지처분을 명하여야 한다.,속임수나 그 밖의 부정한 방법으로 면허를 받은 경우에는 재량의 여지없이 면허를 취소하여야 한다.,3,"[출처: 항공사업법 제28조, 제29조, 제30조] 과징금을 납부기한까지 내지 아니하면 국세 체납처분의 예에 따라 징수한다. (강제징수) 과징금을 내지 않았다고 하여 부과처분을 취소하고 원래의 사업정지처분으로 환원하여 명하는 것은 아니다."
18,현행 항공사업법령상 국내 및 국제항공운송사업 면허를 받은 자가 사업계획에 따라 운항을 개시해야 하는 시한과 관련된 의무로 옳은 것은?,,면허를 받은 날부터 1년 이내에 운항증명(AOC)을 받아야 한다.,면허를 받은 날부터 2년 이내에 안전운항체계 변경검사를 통과하여야 한다.,면허를 받은 날부터 6개월 이내에 운항을 개시하여야 한다.,운항증명을 받은 날부터 6개월 이내에 노선허가를 받아 운항을 개시하여야 한다.,1,"[출처: 항공사업법 제19조, 제28조] 국내항공운송사업 또는 국제항공운송사업의 면허를 받은 자는 사업운영계획서에 적힌 운항개시예정일 이전에 해당 노선의 운항을 개시하여야 한다. 면허 유지 요건과 관련하여 법 제28조 면허취소 사유에 '면허를 받은 날부터 1년 내에 운항증명을 받지 아니한 경우' 면허를 취소하도록 규정하고 있다."
