번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,항공운송사업을 시작하려는 甲법인의 상황에 대한 각 법령의 적용으로 가장 옳지 않은 것은?,,(항공사업법) 甲이 국내항공운송사업 면허를 취득하려면 자본금 50억원 이상 및 1대 이상의 항공기를 갖추어야 한다.,(항공안전법) 甲은 운항을 시작하기 전 국토교통부장관으로부터 안전운항체계에 대한 운항증명(AOC)을 받아야 한다.,(항공보안법) 甲은 화물 운송을 개시하기 전 항공보안법에 따른 '상용화주'로 지정받아야만 화물 운송이 가능하다.,(공항시설법) 甲이 취항하려는 비행장이 상업적 여객운송에 사용되려면 원칙적으로 공항운영증명을 받은 비행장이어야 한다.,3,"정답: 3
해설: 상용화주(Regulated Agent) 제도는 항공사가 아닌 '화물을 위탁하는 자(포워더 등)'를 대상으로 보안검색을 간소화하기 위해 지정하는 제도로 항공사(운송사업자) 본인이 지정받는 주체가 아닙니다."
2,항공기에 탑승하는 기장 乙의 권한과 의무에 관한 법령 적용으로 가장 옳지 않은 것은?,,(항공보안법) 乙은 운항 중인 기내에서 폭행 등으로 항공보안을 위반하는 승객을 직접 포박하거나 승무원에게 지시하여 구금할 수 있다.,"(항공안전법) 乙은 이륙 전 항공기의 감항성 등을 확인해야 하며, 운항관리사의 승인이 없는 한 어떠한 위급상황에서도 비행계획을 단독으로 변경할 수 없다.","(공항시설법) 乙이 관제탑이 운영되지 않는 비행장에 착륙하려는 경우, 비행장설치자가 정한 절차와 통제에 따라야 한다.","(항공사업법) 乙이 기상 악화로 교체공항에 착륙한 경우, 소속 항공운송사업자는 운송약관에 따라 승객에게 적절한 보호 조치를 취해야 한다.",2,"정답: 2
해설: 항공안전법상 기장은 항공기의 안전에 대한 최종 책임을 지며, 위급상황 시에는 운항관리사의 사전 승인 없이도 비행계획을 변경할 수 있는 재량권이 부여됩니다."
3,최대이륙중량 30kg의 1종 무인동력비행장치(드론)를 비행하려는 丙에 대한 통합 규제로 가장 옳지 않은 것은?,,(항공사업법) 丙이 이를 활용해 유상으로 비료 살포 사업을 하려면 초경량비행장치 사용사업 등록을 해야 한다.,"(공항시설법) 丙이 비행장 참조점으로부터 반경 3km 이내에서 띄우려는 경우, 공항운영자의 사전 승인만으로 안전법상 비행승인이 완전히 면제된다.","(항공안전법) 丙은 비행 전 해당 장치의 소유자 등을 장관에게 신고하여야 하며, 1종 조종자 증명을 취득해야 한다.",(항공보안법) 공항보호구역이 아닌 일반 초경량비행장치 전용 비행장의 경우 항공보안법상 보호구역 출입통제 규정이 의무적으로 적용되지는 않는다.,2,"정답: 2
해설: 비행장 반경 9.3km 이내(관제권) 비행 시 공항운영자의 동의와 별개로 반드시 항공안전법상 관할 지방항공청(또는 관제탑)의 비행승인을 받아야 합니다."
4,운항 중인 항공기가 C공항 착륙 과정에서 유도로를 이탈하여 파손되는 사고가 발생했다. 조치 사항으로 가장 옳지 않은 것은?,,(항공안전법) 기장 또는 해당 항공기 소유자는 사고 사실을 국토교통부장관에게 즉시 의무적으로 보고하여야 한다.,(공항시설법) C공항 운영자는 공항의 안전한 운영을 위해 필요한 경우 항공기 소유자에게 해당 기체의 이동을 명할 수 있다.,"(항공사업법) 해당 운송사업자의 중대한 과실로 사고가 발생한 경우, 장관은 사업면허를 취소하거나 6개월 이내의 사업정지를 명할 수 있다.",(항공보안법) 사고 현장 수습을 위해 보호구역으로 진입하는 구급대원은 예외 없이 정규출입증을 사전에 정식 발급받아야만 진입이 가능하다.,4,"정답: 4
해설: 항공보안법령 및 국가항공보안우발계획에 따라 긴급 인명구조나 재난 수습을 위해 출동하는 구급대원 등은 임시출입조치나 안내자 동반 등 정규출입증 발급의 예외를 적용받아 신속히 진입할 수 있습니다."
5,대한민국 노선에 정기편을 취항하려는 외국인 국제항공운송사업자에 대한 법적 요건으로 옳은 것을 모두 고른 것은?,"ㄱ. (사업법) 장관으로부터 노선 개설 허가를 받아야 한다.
ㄴ. (보안법) 출항지 기준 대한민국 공항에 대한 자체보안계획을 수립하여 제출해야 한다.
ㄷ. (안전법) 기체는 반드시 대한민국의 감항증명을 중복으로 재발급 받아야 한다.
ㄹ. (시설법) 취항 공항의 시설 사용료를 납부해야 한다.","ㄱ, ㄴ","ㄱ, ㄴ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,"정답: 2
해설: 국제민간항공조약(ICAO)에 따라 체약국인 외국 정부가 발행한 감항증명은 대한민국 영공에서도 유효성을 인정받으므로(ㄷ 틀림), 대한민국의 감항증명을 별도로 재발급받을 필요가 없습니다."
6,신공항 건설 및 개항에 관련된 통합 법령 해석으로 가장 옳지 않은 것은?,,(공항시설법) 공항개발사업의 실시계획 승인을 받은 사업시행자는 해당 사업구역 내의 토지나 물건을 수용하거나 사용할 수 있다.,"(항공안전법) 공항 주변에 장애물 제한표면이 설정되면, 원칙적으로 그 표면 높이를 초과하는 건축물을 설치할 수 없다.",(항공보안법) 공항운영자는 공항 운영 개시 전에 국가항공보안계획에 따라 공항보안계획을 수립하여 장관의 승인을 받아야 한다.,(항공사업법) 신공항을 정치장으로 소형항공운송사업을 등록하려는 경우 반드시 50석을 초과하는 대형 항공기 1대 이상을 의무적으로 보유해야 한다.,4,"정답: 4
해설: 항공사업법상 '소형항공운송사업'은 여객좌석수 50석 이하의 항공기를 이용하여 운항하는 사업을 말하므로, 50석을 초과하는 대형 기체를 의무 보유할 필요가 없습니다."
7,각종 항공 관련 위반행위에 대한 법적 제재 연결이 가장 옳지 않은 것은?,,(항공보안법) 운항 중인 기내에서 위계나 위력으로 기장의 직무를 방해하여 운항을 저해한 승객 - 10년 이하의 징역,(항공사업법) 부정한 방법으로 국제항공운송사업 면허를 취득한 자 - 면허 필수적 취소 및 형사처벌,(공항시설법) 관할 관청의 승인이나 허가 없이 공항시설 내에서 영리목적의 영업행위를 한 자 - 시설 훼손이 없으므로 과태료 처분에 한함,(항공안전법) 주류 등의 영향으로 업무를 정상적으로 수행할 수 없는 상태에서 운항통제 업무에 종사한 운항관리사 - 3년 이하의 징역 또는 3천만원 이하의 벌금,3,"정답: 3
해설: 공항시설법 제56조 등에 따라 승인 없이 공항시설에서 영업행위를 한 자는 단순 과태료가 아닌 1년 이하의 징역 또는 1천만원 이하의 벌금 등 형사처벌의 대상이 됩니다."
8,위험물 운송과 보안검색에 관한 각 법령 적용으로 가장 옳지 않은 것은?,,"(항공안전법) 항공운송사업자가 폭발성 위험물을 기내에 적재·운송하려는 경우 포장, 표기 등에 관하여 장관의 허가를 받아야 한다.",(항공보안법) 수하물과 여객에 대한 일차적인 보안검색 실시 의무 및 책임은 공항운영자가 아닌 해당 항공운송사업자에게 있다.,(항공사업법) 위험물 운반을 위해 항공기를 임대한 '항공기대여업자'는 임차인이 위험물 규정을 위반할 경우 사업법상 등록취소 등 제재를 받을 수 있다.,(공항시설법) 폭발물을 실은 항공기가 공항에 이착륙할 경우 공항운영자는 지정된 특정 격리 주기장만을 이용하도록 통제할 권한이 없다.,4,"정답: 4
해설: 공항시설법 및 공항운영규정에 따라 공항운영자는 안전 확보를 위해 폭발물 등 위험물 탑재 항공기에 대해 특정 격리 주기장을 지정하고 그곳만을 이용하도록 강제할 수 있습니다."
9,"공역, 비행방식, 지상이동에 관한 통합 규정으로 가장 적절한 것은?",,(안전법+시설법) 시계비행방식(VFR)으로 관제권에 진입하려는 항공기는 비행장 설치자의 동의만 있으면 장관(관제기관)의 관제지시는 면제된다.,(안전법+사업법) 계기비행방식(IFR) 운항 중 기상 악화 시 항공운송사업자의 운항통제센터 지시가 항공교통관제소의 지시보다 항상 우선한다.,(보안법+시설법) 비행장 주변 공역 중 민간통제선 이북에 위치한 공항은 항공보안법상 별도의 지정 없이 '특별보안구역'으로 자동 영구 지정된다.,"(안전법+시설법) 공역 내 비행 중인 항공기는 안전법상 교행 규칙을 따르고, 착륙 후 공항 이동지역 내에서는 시설법에 따른 이동기준과 관제를 함께 따라야 한다.",4,"정답: 4
해설: 비행 중인 항공기는 항공안전법상 비행규칙(충돌방지 등)을 따르며, 공항 지상(이동지역)에 진입하면 공항시설법령과 국지적 공항운영규정(지상관제)을 통합적으로 준수해야 합니다."
10,"항공운송사업자 D와 소속 종사자에 대한 자격, 면허, 처분 규정으로 옳지 않은 것은?",,"(사업/안전) 장관은 D가 항공안전법에 따른 운항증명(AOC)이 취소된 경우, 필수적으로 항공사업법에 따른 사업면허도 취소하여야 한다.",(사업/보안) D가 공항의 자체보안계획을 위반하였다는 이유만으로 공항운영자가 독단적으로 D의 노선 운수권을 회수할 수 있다.,(안전/보안) D 소속 조종사가 항공보안법을 위반하여 기내에서 마약을 투약한 상태로 비행한 경우 장관은 조종사 자격증명을 반드시 취소하여야 한다.,"(시설/안전) D가 공항시설 사용료를 체납하더라도, 이를 이유로 장관이 해당 기체의 감항증명 효력을 즉각 정지시키는 것은 아니다.",2,"정답: 2
해설: 노선 운수권의 배분 및 회수 권한은 국토교통부장관에게 있으며, 공항운영자는 항공사업자의 보안 규정 위반 시 고발이나 출입 통제 조치는 가능하나 운수권(면허) 자체를 회수할 권한은 없습니다."
