번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,"항공안전법령 및 관련 법령에 따른 용어의 정의로 다음 빈칸 ㉠, ㉡, ㉢에 들어갈 내용이 알맞게 짝지어진 것을 고르시오.","▶ "" ㉠ ""(이)란 항공기 외에 공기의 반작용으로 뜰 수 있는 기기로서 최대이륙중량, 좌석 수 등 국토교통부령으로 정하는 기준에 해당하는 비행기, 헬리콥터, 자이로플레인 및 동력패러슈트 등을 말한다.
▶ "" ㉡ ""(이)란 보호구역에서 항공관련업무 수행단체가 수행하는 업무와 관련하여 사람, 차량 또는 장비로 인하여 인적 또는 물적 피해가 발생한 사고를 말한다. 다만, 항공기사고, 항공기준사고 및 항공안전장애는 제외한다.
▶ "" ㉢ ""(이)란 승객이 탑승한 후 항공기의 모든 문이 닫힌 때부터 내리기 위하여 문을 열 때까지를 말한다.",㉠ 경량항공기 - ㉡ 지상안전사고 - ㉢ 운항중,㉠ 초경량비행장치 - ㉡ 지상안전사고 - ㉢ 운항중,㉠ 경량항공기 - ㉡ 항공안전장애 - ㉢ 비행중,㉠ 초경량비행장치 - ㉡ 항공안전장애 - ㉢ 비행중,1,"「항공안전법」 제2조(정의)에 따른 '경량항공기', '운항중'의 정의와 「항공보안법」 제2조(정의)에 따른 '지상안전사고'의 정의이다."
2,수리·개조승인을 신청하기 위해 제출하여야 하는 수리·개조 계획서에 포함되어야 할 내용이 아닌 것을 고르시오.,,수리·개조 작업지시서,"수리·개조에 필요한 인력, 장비, 시설 및 자재 목록","수리·개조 후 비행계획, 비행일정",해당 항공기등 또는 부품등의 도면과 도면 목록,3,"「항공안전법 시행규칙」 제66조(수리·개조승인의 신청)에 따르면 수리·개조 계획서에는 수리·개조 신청사유 및 작업 일정, 작업을 수행하려는 인증된 정비조직의 업무범위, 수리·개조에 필요한 인력/장비/시설 및 자재 목록, 도면과 도면 목록, 수리·개조 작업지시서가 포함되어야 하며, 비행계획 및 일정은 포함되지 않는다."
3,항공관련업무종사자가 항공기 및 차량 등의 연료가 유출된 사실을 즉시 공항운영자에게 알리지 않은 경우 1차 위반 시 처해지는 행정처분 기준으로 옳은 것은?,,운전업무 정지 1일,업무정지 3일,업무정지 5일,50만원 이하의 과태료,2,「공항시설법 시행규칙」 별표 4의2(항공관련업무종사자에 대한 행정처분 기준)에 따라 항공기 및 차량 등의 연료가 유출된 경우에도 즉시 공항운영자에게 알리지 않은 경우 1차 위반 시 '업무정지 3일' 처분을 받는다. 복원 문제의 50만원 이하 과태료는 오답이다.
4,다음은 항공기사용사업에 등록하려는 A 법인의 현황이다. 다음을 참고하여 알맞은 내용을 고르시오.,"[자본금] 납입자본금 7억2천만원
[보유 항공기] EA 330 1대, DA-42 1대 (각 항공기는 해상 비행 시 항공기 위치를 수동으로 확인 가능)
[기술 인력] 조종사 1명, 정비사 2명",납입자본금이 최소 6천만원 이상이 더 필요하다.,항공기사용사업 등록을 위한 조건에 항공기에 관한 내용은 충족한다.,조종사가 최소 1명이 더 필요하다.,정비사가 최소 2명이 더 필요하다.,3,"「항공사업법 시행령」 별표 4(항공기사용사업의 등록요건)에 따라 법인의 납입자본금은 7억5천만원 이상이어야 하므로 3천만원이 부족하며, 해상 비행 시 위치를 '자동으로' 확인할 수 있는 기능을 갖춰야 하므로 수동확인은 조건 미달이다. 조종사는 보유 항공기 1대당 1명 이상이 필요하므로 현재 항공기 2대 기준 조종사 1명이 더 필요하다."
5,다음 중 CAT II 정밀접근 활주로에 설치해야 하는 등화의 종류에 포함되는 것의 총 개수를 고르시오.,"ㄱ. 일시정지위치등
ㄴ. 정지로등
ㄷ. 풍향등
ㄹ. 접지구역등
ㅁ. 착륙구역등",1개,2개,3개,4개,4,"「공항시설법 시행규칙」 별표 14(항공등화의 설치기준)에 따르면 CAT II(카테고리 II) 정밀접근 활주로에 설치되는 등화는 일시정지위치등, 정지로등, 풍향등, 접지구역등으로 총 4개이다. 착륙구역등은 육상헬기장에 해당한다."
6,"항공안전법령에 따른 안전성인증 등급에서 제3종, 제4종 경량항공기가 공통으로 사용 제한되는 부분을 <보기>에서 모두 고른 것은?","ㄱ. 항공기대여업
ㄴ. 항공레저스포츠사업
ㄷ. 이륙 장소를 중심으로 반경 10km 범위를 초과하는 비행에 사용
ㄹ. 인구 밀집지역 상공에서의 비행에 사용","ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄹ","ㄷ, ㄹ",1,「항공안전법 시행규칙」 별표 40(경량항공기 안전성인증 등급에 따른 운용범위)에 따라 제3종 및 제4종 안전성인증을 받은 경량항공기는 공통적으로 항공기대여업 및 항공레저스포츠사업에 사용할 수 없다.
7,항공운송사업용 및 항공기사용사업용 헬리콥터가 계기비행 시 교체비행장이 요구될 경우 탑재해야 할 연료량의 기준으로 옳은 것을 <보기>에서 모두 고른 것은?,"ㄱ. 교체비행장까지 비행하는데 필요한 연료량
ㄴ. 최대항속속도로 20분간 추가로 비행할 수 있는 연료량
ㄷ. 교체비행장 도착 후 표준대기 상태에서 교체비행장의 450미터 상공에서 45분간 체공하는데 필요한 양
ㄹ. 표준대기 상태에서 교체비행장의 450미터 상공에서 30분간 체공하는데 필요한 양에 그 비행장에 접근하여 착륙하는 데 필요한 양을 더한 양","ㄱ, ㄴ","ㄱ, ㄹ","ㄴ, ㄷ","ㄷ, ㄹ",2,"「항공안전법 시행규칙」 별표 17(항공기에 실어야 할 연료와 오일의 양)에 따라 헬리콥터가 계기비행 시 교체헬기장(비행장)이 요구되는 경우, 교체비행장까지 비행하는데 필요한 양(ㄱ)과 도착 후 450미터 상공에서 30분간 체공 및 착륙에 필요한 양(ㄹ)을 싣고 비행해야 한다."
8,"항공운송사업자로부터 공항의 이동지역에서의 기내 지연이 발생했음을 보고 받았을 때, 국토교통부장관이 공항운영자에게 협조를 요청할 수 있는 사항으로 옳은 것은?",,"계류장 재배정, 관제 지원 및 항공기 통제",항공기 입·출항 보고서 및 탑승객 명부의 우선 처리,외부음식 반입 관련 허가절차의 우선 처리,승무원 보건상태 신고 및 승무원 교체에 따른 변경신고의 우선 처리,1,"「항공사업법 시행령」 제24조의2(이동지역에서의 기내 지연 시 협조요청 등)에 따라 국토교통부장관이 공항운영자에게 요청할 수 있는 사항은 '계류장 재배정, 관제 지원 및 항공기 통제' 등이다. 나머지 보기는 '관계 기관의 장'에 대한 협조요청 사항이다."
9,다음 중 국토교통부장관이 한국교통안전공단에 권한을 위탁하여 운영하는 사항에 해당하는 것의 개수로 옳은 것은?,"ㄱ. 자격증명 시험 업무 및 자격증명 한정심사업무와 항공종사자 자격증명서 발급 업무
ㄴ. 계기비행증명업무 및 조종교육증명업무와 증명서의 발급에 관한 업무
ㄷ. 안전투자의 공시에 관한 업무
ㄹ. 초경량비행장치 신고의 수리 및 신고번호의 발급에 관한 업무
ㅂ. 초경량비행장치사용사업자에 대한 안전개선명령 업무",2개,3개,4개,5개,4,"「항공안전법」 제135조제5항에 따라 보기의 ㄱ, ㄴ, ㄷ, ㄹ, ㅂ 항목 모두 국토교통부장관이 한국교통안전공단에 위탁하는 업무에 해당하므로 5개 모두 정답이다."
10,지방항공보안협의회에 관한 설명으로 옳지 않은 것은?,,지방항공청장은 관할 공항별로 항공보안에 관한 사항을 협의하기 위하여 지방항공보안협의회를 둔다.,위원장 1명을 포함하여 20명 이내의 위원으로 구성한다.,위원장은 항공분야를 담당하는 고위계급 일반 공무원 중 국토교통부장관이 지명하는 사람이 된다.,"공항에 상주하는 정부기관의 소속 직원 각 1명, 공항운영자가 추천하는 소속 직원 1명, 공항에 상주하는 항공운송사업자가 추천하는 소속 직원 1명 등을 위원으로 한다.",3,「항공보안법 시행령」 제3조(지방보안협의회의 구성 등)에 따르면 지방보안협의회의 위원장은 '해당 공항을 관할하는 지방항공청장 또는 지방항공청장이 소속 공무원 중에서 지명하는 사람'이 된다. (고위계급 일반공무원을 지명하는 것은 항공보안협의회 위원장 규정이다)
11,항공기등 및 장비품을 검사하는 검사관의 임명 또는 위촉 요건에 해당하지 않는 사람을 고르시오.,,항공정비사 자격증명을 받은 사람,「국가기술자격법」에 따른 항공분야의 기사 이상의 자격을 취득한 사람,"항공기술 관련 분야에서 학사 이상의 학위를 취득한 후 2년 이상 항공기의 설계, 제작, 정비 또는 품질보증 업무에 종사한 경력이 있는 사람","국가기관등항공기의 설계, 제작, 정비 또는 품질보증 업무에 5년 이상 종사한 경력이 있는 사람",3,"「항공안전법 시행규칙」 제31조제2항제3호에 따르면 학사 이상의 학위 취득 후 '3년 이상' 항공기의 설계, 제작, 정비 또는 품질보증 업무에 종사한 경력이 있어야 하므로 2년은 오답이다."
12,항공사업법령상 항공산업발전조합의 사업으로 옳지 않은 것은?,,"조합원의 항공기 도입, 시설·장비 도입 등 항공사업의 운영에 필요한 보증",조합원에 대한 자금의 융자 (개별 조합원에 대한 융자금은 출자지분액을 초과할 수 있다),"조합의 사업과 관련된 업무로서 국가, 지방자치단체, 공공기관 등이 위탁하는 업무",항공사업 등 관련 자산에 대한 투자 및 그 밖에 조합의 설립목적을 달성하기 위하여 필요한 관련 사업에 대한 투자,2,"「항공사업법」 제69조의5(조합의 사업) 제1항제3호에 따르면 조합원에 대한 자금의 융자 시, 개별 조합원에 대한 융자금은 해당 조합원의 '출자지분액을 초과할 수 없다'."
13,항공안전법령상 항공종사자 행정처분 기준(위반 횟수별 1차/2차/3차 이상)으로 바르게 짝지어지지 않은 것은?,,항공종사자가 자격증명 종류에 따른 업무범위 외의 업무에 종사한 경우: 자격증명 효력정지 30일 / 60일 / 150일,항공종사자 및 객실승무원이 주기 중인 항공기 내에서 흡연을 한 경우: 자격증명 효력정지 30일 / 60일 / 90일,조종사 및 항공교통관제사가 신체적·정신적 상태 저하 사실을 신고하지 않은 경우: 자격증명 효력정지 30일 / 60일 / 150일,비행 전·후 또는 비행 중 업무수행 시 지켜야 할 사항을 고의 또는 중과실로 위반한 경우: 자격증명 효력정지 30일 / 60일 / 90일,1,"「항공안전법 시행규칙」 별표 10(행정처분기준)에 따르면 항공종사자가 업무범위 외의 업무에 종사한 경우 1차 30일, 2차 60일, 3차 이상 '90일'의 자격증명 효력정지 처분을 받게 된다. 150일이 아니므로 1번은 틀린 설명이다."
14,항공보안법령에 규정된 화물에 대한 보안검색 방법이 아닌 것은?,,개봉검색,압력실에 의한 검사,폭발물 탐지장비 또는 폭발물 흔적탐지장비에 의한 검색,폭발물 탐지견에 의한 검색,2,"「항공보안법 시행령」 제12조(화물에 대한 보안검색방법 등)에 규정된 화물 탑재 전 보안검색 방법은 개봉검색, 엑스선 검색장비, 폭발물 탐지장비 및 흔적탐지장비, 폭발물 탐지견에 의한 검색이다. 압력실에 의한 검사는 해당하지 않는다."
15,국제민간항공협약 제26조(사고의 조사)에 따른 항공기 사고 조사 방법에 대한 설명으로 옳지 않은 것은?,,사고가 발생한 체약국과 해당 항공기 등록국이 반드시 공동으로 조사를 수행해야 한다.,사고 조사를 하는 체약국은 항공기 등록국에 조사에 임석할 입회인을 파견할 기회를 주어야 한다.,사고가 발생한 국가는 자국의 법률이 허용하는 한 국제민간항공기구가 권고하는 절차에 따라 진상 조사를 개시해야 한다.,조사를 하는 국가는 등록국가에 대하여 그 사항에 관한 보고와 소견을 통보하여야 한다.,1,"「국제민간항공협약」 제26조(사고의 조사)에 따라, 사고의 진상 조사는 사고가 발생한 체약국이 개시 및 주도하며, 해당 항공기 등록국에는 조사에 임석할 입회인을 파견할 기회와 보고를 통보받을 권리를 부여한다. 반드시 공동으로 수행해야 한다는 규정은 없다."
16,항공안전법령에 규정된 항공기 상호 간 통행의 우선순위 양보에 대한 설명으로 올바른 것은?,,활공기는 기구류에 진로를 양보할 것,비행선은 활공기에 진로를 양보할 것,비행선은 기구류의 진로를 우선하여 양보받을 것,비행기 및 헬리콥터는 활공기에게는 양보하나 비행선에게는 양보하지 않을 것,2,"「항공안전법 시행규칙」 제166조(통행의 우선순위) 제1항에 따르면 1.비행기·헬리콥터는 비행선, 활공기 및 기구류에 양보 2.비행선은 활공기 및 기구류에 양보 3.활공기는 기구류에 양보해야 한다. 따라서 비행선은 활공기에 진로를 양보해야 하는 것이 맞다."
