번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,현행 항공보안법령상 공항운영자등의 자체보안계획 수립 및 변경에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 공항운영자는 국가항공보안계획을 시행하기 위하여 자체보안계획을 수립하여 국토교통부장관의 승인을 받아야 한다.
ㄴ. 자체보안계획 중 '보안검색의 절차 및 방법'을 변경하려는 경우에는 국토교통부장관에게 신고하여야 한다.
ㄷ. 국토교통부장관은 항공보안에 관한 국제협약의 변경 등에 따라 필요하다고 인정하면 자체보안계획의 변경을 명할 수 있다.
ㄹ. 자체보안계획을 수립하여야 하는 자에는 도심공항터미널을 운영하는 자도 포함된다.","ㄱ, ㄴ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,[출처: 항공보안법 제10조] ㄴ. 보안검색의 절차 및 방법 등 핵심 사항을 변경하려는 경우에는 단순 신고가 아닌 '승인'을 받아야 한다. 국토교통부령으로 정하는 경미한 사항의 경우에만 신고 대상이다. ㄹ. 도심공항터미널 운영자도 자체보안계획 수립 의무자에 포함된다.
2,현행 항공보안법령상 공항의 보호구역 및 출입통제에 관한 설명으로 가장 옳지 않은 것은?,,공항운영자등은 보안통제를 위하여 공항에 보호구역을 지정하려면 국토교통부장관의 승인을 받아야 한다.,"공항운영자등은 보호구역의 업무에 종사하는 사람 중 상시출입증을 발급받으려는 사람에 대하여 관계 기관의 장에게 신원조사를 요청하여야 하나, 14세 미만인 사람은 제외한다.",보호구역에 무단으로 출입한 사람은 3천만원 이하의 벌금에 처한다.,"관할 국가경찰관서의 장은 화재 등 재난이 발생하여 긴급히 보호구역에 출입할 필요가 있는 경우, 공항운영자등의 통제를 받지 않고 자체적인 판단 하에 임의로 출입할 수 있다.",4,"[출처: 항공보안법 제12조 및 제47조] 4. 화재나 재난 등 긴급상황이라 하더라도 관할 국가경찰관서의 장이 임의로 승인 없이 출입할 수 있다는 예외 규정은 법상 존재하지 않으며, 공항운영자등의 비상계획 및 출입통제 절차에 따라 출입하여야 한다. 3. 보호구역 무단출입은 제47조에 따라 3천만원 이하의 벌금에 처해진다."
3,현행 항공보안법령상 승객 및 수하물의 보안검색에 관한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 승객 및 휴대수하물에 대한 보안검색의 일차적 실시 의무자는 해당 공항을 운영하는 공항운영자이다.
ㄴ. 항공운송사업자는 위탁수하물이 그 수하물을 위탁한 승객과 같은 항공기로 운송되는지를 확인하여야 한다.
ㄷ. 환승 승객이나 통과 승객에 대해서는 보안검색을 생략할 수 있는 법적 근거가 없다.
ㄹ. 국가원수 및 그 배우자에 대해서는 보안검색을 면제할 수 있다.","ㄱ, ㄴ","ㄴ, ㄹ","ㄱ, ㄴ, ㄹ","ㄴ, ㄷ, ㄹ",3,"[출처: 항공보안법 제15조 및 시행령 제13조] ㄷ. 환승 및 통과 승객에 대하여 위해물품이 항공기에 실릴 우려가 없다고 국토교통부장관이 인정하는 경우에는 법령에 따라 보안검색을 면제할 수 있다. ㄱ, ㄴ, ㄹ은 모두 옳은 설명이다."
4,현행 항공보안법령상 항공기 내의 기장의 권한과 의무에 대한 설명으로 가장 옳지 않은 것은?,,"기장은 승객이 항공기 내에서 직무집행 방해 행위를 하여 항공기의 안전을 해칠 우려가 있다고 판단되는 경우, 해당 승객을 구금하는 등 필요한 조치를 할 수 있다.",기장은 승객에 대하여 구금 등의 조치를 하였을 때에는 목적지 공항에 착륙하기 전에 관할 국가경찰관서의 장에게 그 사실을 통보하여야 한다.,기장은 항공기 내에서 죄를 범한 범인을 해당 공항을 관할하는 국가경찰관서의 장에게 인도하여야 한다.,"기장은 필요한 조치를 하기 위하여 다른 승무원에게 권한을 위임할 수 있으며, 이 경우 위임받은 승무원은 구금된 승객의 구금 상태를 착륙 후에도 계속 유지할 수 있다.",2,"[출처: 항공보안법 제22조, 제24조, 제25조] 2. 항공보안법 제24조에 따르면, 기장은 승객에 대하여 구금 등의 조치를 하였을 때에는 목적지 공항에 '착륙한 후 지체 없이' 관할 국가경찰관서의 장에게 그 사실을 통보하여야 한다. 착륙하기 전에 통보해야 하는 것은 아니다."
5,"현행 항공보안법상 승객의 항공기 내 불법행위 및 그에 대한 벌칙의 연결로 가장 옳지 않은 것은? (단, 가중처벌 사유는 고려하지 않음)","ㄱ. 운항 중인 항공기의 조종실 출입을 기도한 사람 - 5년 이하의 징역
ㄴ. 운항 중인 항공기 내에서 폭언, 고성방가 등 소란행위를 한 사람 - 1천만원 이하의 벌금
ㄷ. 계류 중인 항공기 내에서 승무원에게 폭행을 가한 사람 - 5년 이하의 징역
ㄹ. 항공기 내에서 기장등의 업무를 위계나 위력으로 방해한 사람 - 10년 이하의 징역",ㄱ,ㄴ,ㄷ,ㄹ,2,"[출처: 항공보안법 제43조, 제46조, 제49조] ㄴ. 운항 중인 항공기 내에서 폭언, 고성방가 등 소란행위를 한 사람은 제46조에 따라 '3년 이하의 징역 또는 3천만원 이하의 벌금'에 처한다. 1천만원 이하의 벌금은 잘못된 설명이다."
6,현행 항공보안법령상 항공보안장비의 성능 인증 및 검사에 관한 설명으로 옳지 않은 것을 모두 고른 것은?,"ㄱ. 항공보안장비를 제조, 수입 또는 판매하려는 자는 그 장비에 대하여 국토교통부장관의 성능 인증을 받아야 한다.
ㄴ. 성능 인증을 받은 자는 해당 장비를 설치한 날부터 3년마다 정기검사를 받아야 한다.
ㄷ. 국토교통부장관은 거짓이나 그 밖의 부정한 방법으로 성능 인증을 받은 경우에는 그 성능 인증을 취소하여야 한다.
ㄹ. 성능 인증의 유효기간은 5년으로 하되, 1회에 한하여 3년의 범위에서 연장할 수 있다.","ㄱ, ㄴ","ㄴ, ㄹ","ㄷ, ㄹ","ㄱ, ㄷ",2,"[출처: 항공보안법 제27조의2 등] ㄴ. 정기적인 성능점검 및 검사는 규정된 주기(일반적으로 매년 등)에 따라 실시되어야 하며 '3년마다' 정기검사를 받아야 한다는 보편적 규정은 틀렸다. ㄹ. 항공보안장비 성능 인증에 대해 유효기간 연장을 무조건 1회/3년으로 제한하는 규정은 없으며, 유효기간 도래 전 갱신 또는 재인증 절차를 따른다."
7,현행 항공보안법령상 항공기 내 무기 등 위해물품 휴대 통제에 대한 설명으로 가장 옳은 것은?,,항공기 내에 무기를 반입하려는 경우에는 출발지 공항운영자등의 허가를 받아야 한다.,「경찰관 직무집행법」에 따른 사복경찰관은 직무수행을 위하여 필요한 경우 기장에게 통보하지 않고 무기를 휴대하여 탑승할 수 있다.,"항공기내보안요원은 직무수행을 위하여 무기를 휴대할 수 있으며, 이 경우 해당 항공운송사업자는 그 사실을 사전에 기장에게 통보하여야 한다.",위해물품 휴대 허가를 받지 않고 무기를 휴대하여 항공기에 탑승한 사람은 5년 이하의 징역에 처한다.,3,[출처: 항공보안법 제18조] 1. 무기 등의 반입 허가는 공항운영자가 아니라 '국토교통부장관'의 허가를 받아야 한다. 2. 법률에 따라 무기 휴대가 허용된 자라도 반드시 사전에 해당 항공기의 기장에게 통보하여야 한다. 4. 허가 없이 무기를 휴대하여 탑승한 자는 2년 이상 10년 이하의 징역에 처한다.
8,현행 항공보안법상 항공운송사업자의 보안점검 및 보안수색 의무에 대한 설명 중 옳은 것을 모두 고른 것은?,"ㄱ. 항공운송사업자는 항공기에 승객이 탑승하기 전 및 하기한 후에 항공기에 대한 보안점검을 실시하여야 한다.
ㄴ. 항공운송사업자는 항공기에 대한 보안통제가 뚫린 것으로 의심되는 경우 즉시 항공기에 대한 보안수색을 실시하여야 한다.
ㄷ. 보안점검(Security Check)은 보안수색(Security Search)보다 강화된 절차로서 항공기 내부의 접근 가능한 모든 구역을 분해하여 검색하는 것을 말한다.
ㄹ. 항공기 보안수색을 실시한 경우 해당 비행편의 기장은 수색 결과를 착륙 즉시 관할 국가경찰관서에 서면으로 보고하여야 한다.","ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄹ",1,"[출처: 항공보안법 제14조의2, 제2조] ㄷ. 보안점검은 일상적인 점검 절차이며, 무기 등을 찾기 위해 강화된 절차가 바로 보안수색이다. 설명이 뒤바뀌었다. ㄹ. 보안수색 결과를 기장이 경찰관서에 직접 서면보고하는 의무 조항은 존재하지 않는다."
9,현행 항공보안법상 공항운영자등의 위해물품 대리인도 및 폐기에 관한 설명으로 가장 옳지 않은 것은?,,보안검색 과정에서 발견된 위해물품 중 소지 허가를 받지 않은 총검류 등은 즉시 국가경찰관서의 장 또는 국가정보원장에게 인계하여야 한다.,공항운영자등은 승객이 포기한 위해물품 중 경제적 가치가 있다고 판단되는 물품은 임의로 매각하여 그 대금을 국고에 귀속시킬 수 있다.,"공항운영자등은 승객이 위해물품을 다른 사람에게 인도해 줄 것을 요구하는 경우, 해당 물품이 법령에 따라 소지가 금지된 물품이 아니라면 대리인도를 할 수 있다.","위해물품의 보관, 대리인도 및 폐기에 드는 비용은 원칙적으로 해당 물품을 소지하였던 승객이 부담한다.",2,"[출처: 항공보안법 제15조의2] 2. 승객이 포기한 위해물품 등 폐기 대상 물품의 처리는 국토교통부령으로 정하는 바에 따라 적법하게 폐기하여야 하며, 공항운영자가 임의로 매각하여 국고에 귀속시킬 수 있는 명시적 특례 규정은 없다."
10,현행 항공보안법상 상용화주 제도에 대한 설명으로 옳은 것은?,,상용화주로 지정받으려는 자는 화물터미널 등 보안시설을 갖추고 관세청장의 지정을 받아야 한다.,"국토교통부장관은 상용화주가 화물보안기준을 위반한 경우 즉시 그 지정을 취소하여야 하며, 어떠한 경우에도 영업정지로 갈음할 수 없다.",국토교통부장관의 지정을 받은 상용화주가 위탁한 화물에 대해서는 항공운송사업자등이 실시하는 보안검색의 전부 또는 일부를 생략할 수 있다.,"상용화주 지정의 유효기간은 법률상 지정받은 날부터 무조건 2년으로 명시되어 있으며, 1년 단위로만 연장할 수 있다.",3,[출처: 항공보안법 제17조의2 및 제17조의3] 1. 상용화주의 지정권자는 관세청장이 아니라 '국토교통부장관'이다. 2. 지정을 취소하거나 6개월 이내의 기간을 정하여 화물위탁의 정지를 명할 수 있으므로 즉시 취소만 가능한 것은 아니다. 4. 법률상 유효기간이 2년으로 고정 명시된 조항은 없으며 세부사항은 하위 법령에 위임되어 있다.
