번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,현행 법령상 항공기의 중대한 손상·파손 및 구조상의 결함으로 인정되는 경우로만 짝지어진 것은?,"ㄱ. 플랩(flap), 슬랫(slat) 등 고양력장치가 손실되었으나 외형변경목록(CDL)을 적용하여 비행에 투입할 수 있는 경우
ㄴ. 발동기의 덮개 또는 역추진장치 구성품이 떨어져 나가면서 항공기를 손상시킨 경우
ㄷ. 레이더 안테나 덮개가 파손되거나 떨어져 나가면서 항공기의 동체 구조에 중대한 손상을 준 경우
ㄹ. 덮개와 부품을 포함하여 한 개의 발동기의 고장 또는 손상이 발생한 경우
ㅁ. 바퀴다리가 완전히 펴지지 않은 상태에서 착륙하여 항공기의 표피가 손상되었으나 간단한 수리를 통해 비행할 수 있는 경우","ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄹ, ㅁ",2,"항공안전법 시행규칙 별표 1에 따르면 플랩 손실 시 CDL을 적용하여 투입 가능한 경우는 제외하며(ㄱ 오답), 한 개의 발동기 고장/손상도 중대한 손상으로 보지 않고(ㄹ 오답), 간단한 수리로 비행가능한 표피 손상도 제외한다(ㅁ 오답). 발동기 덮개 이탈로 항공기 손상 시, 레이더 안테나 덮개 파손으로 동체 구조 중대 손상 시는 포함된다."
2,항공기준사고의 범위에 해당하는 것을 보기에서 모두 고른 것은?,"ㄱ. 항공기의 위치, 속도 및 거리가 다른 항공기와 500피트 미만으로 근접하여 충돌위험이 있었던 것으로 판단되는 근접비행이 발생한 경우
ㄴ. 헬리콥터가 허가를 받고 유도로에서 이륙하거나 이륙을 포기한 경우
ㄷ. 조종사가 연료의 불충분, 소진, 누유 등으로 비상선언을 한 경우
ㄹ. 비행 중 비행 유도 및 항행에 필요한 다중 시스템 중 1개의 고장으로 항행에 지장을 준 경우
ㅁ. 비행 중 운항승무원이 비상용 산소 또는 산소마스크를 사용해야 하는 상황이 발생한 경우","ㄱ, ㄷ, ㅁ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄷ, ㄹ, ㅁ",1,"항공안전법 시행규칙 별표 2에 따라 헬리콥터가 허가를 받고 유도로 이륙/착륙 시도한 경우는 제외하며(ㄴ 오답), 다중 시스템 중 '2개 이상'의 고장으로 지장을 준 경우(ㄹ 오답)가 준사고에 해당한다. 산소마스크 사용 상황(ㅁ)은 준사고에 해당한다."
3,비행기 운송용 조종사 자격증명 응시를 위한 비행경력 요건에 대한 설명으로 가장 옳지 않은 것은?,,"총 1,500시간 이상의 비행경력이 있는 사람으로서 계기비행증명을 받은 사업용 조종사 또는 부조종사 자격증명을 소지해야 한다.","200시간 이상의 야외 비행경력이 필요하며, 이 중 기장으로서 100시간 이상의 비행경력 또는 기장의 감독 하에 임무를 수행한 100시간 이상의 비행경력이 포함되어야 한다.","기장 또는 기장 외의 조종사로서의 계기비행경력은 75시간 이상이어야 하며, 이 중 모의비행훈련장치를 이용한 경력은 최대 30시간까지 인정된다.","비행시간 산정 시 모의비행훈련장치를 이용한 비행훈련시간은 최대 100시간 범위에서 인정하되, 비행훈련장치와 기본비행훈련장치를 합산한 비행훈련시간은 최대 50시간을 초과할 수 없다.",4,항공안전법 시행규칙 별표 4에 따르면 비행훈련장치(25시간 한도)와 기본비행훈련장치(5시간 한도)를 합산한 비행훈련시간은 25시간을 초과할 수 없다.
4,"사업용 조종사 자격증명(비행기 및 헬리콥터)의 응시경력 산정 시, 야외비행경력 요건을 바르게 연결한 것은?","ㄱ. 비행기: 기장으로서 20시간 이상의 야외비행경력, 총 540킬로미터 이상의 구간에서 2개 이상의 다른 비행장에서의 완전 착륙 포함
ㄴ. 비행기: 기장으로서 10시간 이상의 야외비행경력, 총 300킬로미터 이상의 구간에서 2개의 다른 지점에서의 착륙비행과정 포함
ㄷ. 헬리콥터: 기장으로서 20시간 이상의 야외비행경력, 총 540킬로미터 이상의 구간에서 2개 이상의 다른 비행장에서의 완전 착륙 포함
ㄹ. 헬리콥터: 기장으로서 10시간 이상의 야외비행경력, 총 300킬로미터 이상의 구간에서 2개의 다른 지점에서의 착륙비행과정 포함","ㄱ, ㄷ","ㄱ, ㄹ","ㄴ, ㄷ","ㄴ, ㄹ",2,"항공안전법 시행규칙 별표 4에 따르면 비행기 사업용 조종사의 야외비행경력 요건은 20시간 이상, 540km 이상 구간 2개 이상 착륙이며, 헬리콥터 사업용 조종사는 10시간 이상, 300km 이상 구간 2개 지점 착륙과정 포함이다."
5,상급활공기에 대하여 자가용 조종사 자격증명을 신청하는 경우 갖추어야 할 응시경력 요건으로 옳은 것은?,,단독 조종으로 15시간 이상의 활공 및 20회 이상의 활공착륙,2시간 이상의 단독 비행경력 및 20회 이상의 이륙·착륙 비행경력을 포함한 6시간 이상의 활공경력,출발지점으로부터 120킬로미터 이상의 야외 비행경력,출발지점으로부터 240킬로미터 이상의 야외 비행경력,2,항공안전법 시행규칙 별표 4의 자가용 조종사 응시경력에 따르면 상급활공기에 대해 자격증명을 신청하는 경우 2시간 이상의 단독 비행경력과 20회 이상의 이륙·착륙 비행경력을 포함한 6시간 이상의 활공경력이 요구된다.
6,항공정비사 자격증명 한정심사 중 '종류 한정' 및 '정비분야 한정' 심사의 응시경력 기준으로 적절하게 연결된 것은?,"ㄱ. 항공기 종류 한정: 자격증명 취득일부터 해당 항공기 종류에 대한 6개월 이상의 정비실무경력
ㄴ. 항공기 종류 한정: 자격증명 취득일부터 해당 항공기 종류에 대한 1년 이상의 정비실무경력
ㄷ. 전기·전자·계기 관련 분야 한정: 자격증명 취득일부터 해당 분야에 대한 1년 이상의 정비실무경력
ㄹ. 전기·전자·계기 관련 분야 한정: 자격증명 취득일부터 해당 분야에 대한 2년 이상의 정비실무경력","ㄱ, ㄷ","ㄱ, ㄹ","ㄴ, ㄷ","ㄴ, ㄹ",2,"항공안전법 시행규칙 별표 4 나. 한정심사에 따르면, 항공기 종류 한정은 취득일부터 해당 종류에 대한 6개월 이상의 정비실무경력, 전기·전자·계기 분야 한정은 취득일부터 2년 이상의 정비실무경력이 요구된다."
7,항공신체검사증명의 종류와 유효기간에 대한 설명으로 가장 옳지 않은 것은?,,운송용 조종사와 항공기관사는 제1종 항공신체검사증명 대상이며 유효기간은 원칙적으로 12개월이다.,1명의 조종사로 승객을 수송하는 항공운송사업에 종사하는 40세 이상의 조종사의 제1종 항공신체검사증명 유효기간은 6개월이다.,"항공교통관제연습생은 제3종 항공신체검사증명 대상이며, 50세 이상인 경우 유효기간은 12개월이다.","자가용 조종사와 사업용 활공기 조종사는 제2종 항공신체검사증명 대상이며, 40세 미만인 경우 유효기간은 48개월이다.",4,"항공안전법 시행규칙 별표 8에 따르면 자가용 조종사, 사업용 활공기 조종사 등의 제2종 항공신체검사증명 유효기간은 40세 미만인 경우 60개월이다. 48개월은 제3종 항공신체검사증명(40세 미만)의 유효기간 기준이다."
8,"항공신체검사기준(제1종, 제2종, 제3종 공통) 중 '청력' 기준에 대한 설명으로 가장 옳지 않은 것은?",,"소음이 35데시벨 미만인 방에서 각 귀가 매초 500, 1,000 및 2,000헤르츠의 각 주파수에서 35데시벨 이하의 음을 들을 수 있어야 한다.","소음이 35데시벨 미만인 방에서 각 귀가 매초 3,000헤르츠의 주파수에서 50데시벨 이하의 음을 들을 수 있어야 한다.","위 주파수별 기준을 충족하지 못하는 경우, 소음이 50데시벨 미만인 방에서 후방 3미터 거리에서 발성되는 통상 강도의 대화음을 두 귀로 올바르게 들을 수 있어야 한다.","위 주파수별 기준을 충족하지 못하는 경우, 한쪽 귀의 말소리 명료도가 70퍼센트 이상이어야 한다.",3,"항공안전법 시행규칙 별표 9의 청력 기준에 따르면, 주파수 기준을 충족하지 못하는 경우 '소음이 50데시벨 미만인 방에서 후방 2미터(3미터가 아님) 거리에서 발성되는 통상 강도의 대화음을 두 귀로 올바르게 들을 수 있을 것'을 충족해야 한다."
9,항공종사자에 대한 행정처분기준(일반기준)에서 위반행위의 차수에 따른 가중처분 적용에 관한 설명으로 가장 옳은 것은?,,하나의 행위로 둘 이상의 위반행위가 발생한 경우 그 중 무거운 처분의 기준에 따르되 3분의 2의 범위에서 가중하여 처분한다.,하나의 비행 편에서 둘 이상의 위반행위가 발생한 경우 각각의 처분기준을 합산하여 처분한다.,위반행위의 차수에 따른 행정처분의 기준은 위반행위를 한 날로부터 최근 2년 이내에 같은 위반행위로 행정처분을 받은 경우에 적용한다.,"같은 위반행위가 연속하여 2회 이상 발생한 경우, 위반사실을 인지하지 못했다 하더라도 위반횟수별로 무조건 합산하여 처분기간을 산정한다.",3,"항공안전법 시행규칙 별표 10의 일반기준에 따르면, 차수에 따른 기준은 위반행위를 한 날로부터 최근 2년 이내 같은 위반행위로 행정처분을 받은 경우에 적용한다(보기3). 하나의 행위 또는 비행편에서 둘 이상 위반행위 발생 시 가장 무거운 처분 기준의 2분의 1 범위에서 가중한다(보기1, 2 오답). 같은 위반행위 연속 발생 시 인지하고 반복한 경우에만 횟수별로 합산한다(보기4 오답)."
10,항공종사자 행정처분 개별기준에 따라 '자격등증명 취소' 처분에 해당하는 위반행위만을 보기에서 모두 고른 것은?,"ㄱ. 다른 사람에게 자기의 성명을 사용하여 항공업무를 수행하게 한 경우
ㄴ. 기장이 운항관리사의 승인을 받지 않고 비행계획을 변경한 경우 (1차 위반)
ㄷ. 항공기 내에서 흡연을 한 경우 (3차 이상 위반)
ㄹ. 항공업무를 수행하는 동안 주류 등의 섭취 여부 측정 요구에 따르지 않은 경우
ㅁ. 허가를 받지 않고 항공기로 위험물을 운송한 경우 (2차 위반)","ㄱ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㅁ","ㄱ, ㄹ, ㅁ",1,"항공안전법 시행규칙 별표 10에 따르면 성명 대여(ㄱ) 및 음주측정 불응(ㄹ)은 1차 위반 시에도 즉시 '자격등증명 취소'이다. 비행계획 무단 변경 1차 위반(ㄴ)은 효력정지 30일, 기내 흡연 3차 위반(ㄷ)은 효력정지 180일, 위험물 무단 운송 2차 위반(ㅁ)은 효력정지 90일이다."
11,모의비행훈련장치 중 헬리콥터 '비행훈련장치 6등급'의 운용범위에 해당하지 않는 것은?,,비행훈련장치 5등급의 범위,"정상 및 측풍 이륙, 계기 이륙을 포함한 이륙 및 출발 절차 (이륙 중 엔진 정지 제외)",완전실속 및 급변풍 회복을 포함하는 야간투시경을 이용한 공중 기동,지상활주를 제외한 비행 전·후 점검 절차,3,"항공안전법 시행규칙 별표 7의2에 따르면 헬리콥터 비행훈련장치 6등급의 야간투시경을 이용한 공중기동 운용범위에서 '비정상 자세 예방 및 회복훈련, 완전실속, 비정상 자세 회복, 급변풍 회복'은 명시적으로 제외된다."
12,모의비행훈련장치의 지정 취소 등 행정처분기준 중 '효력정지 30일'에 해당하는 위반행위는?,,거짓이나 그 밖의 부정한 방법으로 지정을 받은 경우,모의비행훈련장치 운영규정을 위반한 경우,모의비행훈련장치의 성능 및 점검요령을 위반한 경우,지정 당시 소재지가 아닌 곳에 모의비행장치를 이동하여 설치한 경우,4,"항공안전법 시행규칙 별표 7의4에 따르면 소재지 무단 이동 설치, 변경지정검사 미수검, 훈련계획 위반은 '효력정지 30일'에 해당한다. 거짓 지정은 '취소', 운영규정 및 성능/점검요령 위반은 '효력정지 60일'이다."
13,자가용 조종사과정 전문교육기관의 '학과교관' 자격요건에 대한 설명으로 가장 옳지 않은 것은?,,만 21세 이상이어야 하며 해당 과목에 대한 지식과 능력을 갖추어야 한다.,"비행이론 과목의 학과교관은 반드시 항공기 종류 및 등급에 해당하는 자가용, 사업용, 부조종사 또는 운송용 조종사 자격증명을 소지해야만 한다.",항공기상 과목은 조종사 자격증명 소지자 외에도 해당 분야의 실무경력(교육경력 포함)이 3년 이상인 사람이 담당할 수 있다.,"인적수행능력 과목은 항공의학, 심리학, 철학을 전공하고 인적수행능력 과정을 이수한 사람도 담당할 수 있다.",2,"항공안전법 시행규칙 별표 12에 따르면 항공법규, 인적수행능력, 항공기상, 비행이론, 항공교통·통신·정보업무 과목의 학과교관은 조종사 자격증명을 필수적으로 가져야 하는 대상에서 제외된다. 비행이론은 조종사 자격증명이 없더라도 해당 분야 실무경력이 3년 이상이면 가능하다."
