번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,현행 공항시설법령상 '공항시설' 중 '기본시설'에 해당하는 것만을 <보기>에서 모두 고른 것은?,"ㄱ. 여객터미널, 화물터미널 등 여객시설 및 화물처리시설
ㄴ. 항공기 정비, 지상조업 등을 위한 시설
ㄷ. 공항 이용객용 주차장 시설
ㄹ. 관제소, 송수신소, 통신실 등 통신 및 방송 시설
ㅁ. 항공기상관측시설","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㅁ","ㄱ, ㄹ, ㅁ","ㄴ, ㄷ, ㄹ",3,"[출처: 공항시설법 시행령 제3조제1항] ㄱ, ㄹ, ㅁ은 기본시설에 해당한다. ㄴ(항공기 정비, 지상조업 시설)과 ㄷ(공항 이용객용 주차장)은 공항시설 중 '지원시설'에 해당한다."
2,현행 공항시설법령상 공항개발 종합계획에 대한 설명으로 옳지 않은 것은?,,국토교통부장관은 5년마다 공항개발 종합계획을 수립하여야 한다.,종합계획을 수립할 때에는 관계 중앙행정기관의 장과 협의한 후 「항공안전법」에 따른 항공정책위원회의 심의를 거쳐야 한다.,"국토교통부장관은 종합계획을 수립한 경우에는 관할 시·도지사에게 통보하여야 하며, 통보를 받은 시·도지사는 이를 14일 이상 일반인이 열람할 수 있도록 하여야 한다.","종합계획을 변경하려는 경우에도 원칙적으로 항공정책위원회의 심의를 거쳐야 하나, 계산착오나 오기(誤記)의 정정 등 대통령령으로 정하는 경미한 사항을 변경하는 경우에는 심의를 생략할 수 있다.",4,[출처: 공항시설법 제3조제4항] 종합계획 변경 시 경미한 사항을 변경하는 경우에는 '관계 중앙행정기관의 장과의 협의' 및 '항공정책위원회의 심의'를 모두 생략할 수 있다. 오답 선지에서는 심의만 생략할 수 있는 것처럼 표현하여 틀리게 구성하였다.
3,현행 공항시설법령상 장애물 제한표면에 대한 설명으로 옳은 것을 <보기>에서 모두 고른 것은?,"ㄱ. '수평표면'이란 비행장 주변의 항공기가 안전하게 선회할 수 있도록 비행장의 표점(標點) 상부의 일정한 고도에 설정한 평면을 말한다.
ㄴ. '원추표면'이란 수평표면의 외측에 상향 경사로 설정한 표면을 말한다.
ㄷ. '전이표면'이란 활주로의 중심선에서 일정한 거리만큼 떨어진 점으로부터 상향 경사로 설정한 표면을 말한다.
ㄹ. '접근표면'이란 착륙대의 짧은 변에 인접하여 상향 경사로 설정한 표면을 말한다.","ㄱ, ㄴ","ㄱ, ㄴ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",4,"[출처: 공항시설법 제2조제14호] ㄱ, ㄴ, ㄷ, ㄹ 모두 공항시설법에서 규정하고 있는 장애물 제한표면(수평표면, 원추표면, 전이표면, 접근표면)의 올바른 정의이다."
4,현행 공항시설법령상 항행안전시설의 구분에 대한 연결이 옳지 않은 것은?,,항행용 무선방향탐지기 - 전파항행안전시설,항공관제정보통신시설 - 항공정보통신시설,레이더시설 - 전파항행안전시설,항공장애표시장비 - 항공등화,4,"[출처: 공항시설법 시행규칙 제5조] 항공등화에는 진입등시스템, 활주로등, 유도로등, 항공등대 등이 포함되나, '항공장애표시장비'는 항행안전시설의 분류에 명시적으로 속하는 항공등화의 종류로 분류되지 않으며, 장애물을 표시하기 위한 별도의 시설(항공장애표시등)로 취급된다."
5,현행 공항시설법령상 공항개발사업의 실시계획에 대한 설명으로 가장 옳지 않은 것은?,,공항개발사업 시행자는 대통령령으로 정하는 바에 따라 실시계획을 수립하여 국토교통부장관의 승인을 받아야 한다.,국토교통부장관은 실시계획을 승인하려면 미리 관할 시·도지사의 의견을 듣고 관계 행정기관의 장과 협의하여야 한다.,실시계획의 고시가 있으면 「국토의 계획 및 이용에 관한 법률」에 따른 도시·군관리계획의 결정(용도지역 등의 지정 및 변경은 제외)이 있는 것으로 본다.,국가나 지방자치단체가 아닌 사업시행자가 공항개발사업을 시행하는 경우 그 실시계획에는 자금조달계획이 포함되어야 한다.,3,[출처: 공항시설법 제12조제1항] 실시계획의 고시가 있으면 「국토의 계획 및 이용에 관한 법률」에 따른 도시·군관리계획의 결정(용도지역·용도지구 및 용도구역의 지정 및 변경을 포함한다)이 있는 것으로 본다. 제외하는 것이 아니다.
6,현행 공항시설법령상 '착륙대'에 대한 설명으로 옳은 것을 <보기>에서 모두 고른 것은?,"ㄱ. 활주로와 항공기가 활주로를 이탈하는 경우에 항공기와 탑승자의 피해를 감소시키기 위하여 활주로 주변에 설치하는 안전지대를 말한다.
ㄴ. 육상비행장의 착륙대 길이는 활주로의 길이에 따라 결정되며, 활주로의 양 끝에서 일정 거리만큼 연장된 부분까지 포함한다.
ㄷ. 착륙대의 폭은 비행장의 분류번호 및 정밀접근용 여부에 따라 국토교통부령으로 그 기준을 다르게 정한다.
ㄹ. 수상비행장의 착륙대 크기도 국토교통부령으로 정한다.","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,"[출처: 공항시설법 제2조제13호 및 시행규칙 제3조] ㄹ은 틀린 설명이다. 법 제2조제13호 및 시행규칙 제3조에 따르면 육상비행장 및 육상·옥상·선상·해상구조물헬기장에 대해서만 착륙대 크기 기준을 명시하고 있으며, 수상비행장 착륙대에 대한 구체적인 크기 기준을 시행규칙 제3조(착륙대의 크기)에서 별도로 직접 규정하고 있지 않다(수상은 제외됨)."
7,"현행 공항시설법령상 장애물 제한표면에 높이가 30미터인 새로운 인공구조물을 설치하고자 할 때, 원칙적으로 국토교통부장관이나 지방항공청장에게 설치 허가를 받아야 하는 구역이 아닌 것은? (단, 예외적인 항공학적 검토는 배제함)",,접근표면의 가장 낮은 가장자리,전이표면의 상단부,수평표면 위로 돌출되는 구역,원추표면 위로 돌출되지 않는 범위 내의 구역,4,"[출처: 공항시설법 제34조] 누구든지 비행장의 장애물 제한표면의 높이 이상으로 건축물ㆍ식물, 그 밖의 장애물을 설치ㆍ재배하거나 방치하여서는 아니 된다. 그러나 원추표면이나 다른 표면의 '제한높이(표면) 아래(위로 돌출되지 않는 범위)'에 설치하는 구조물은 원칙적으로 장애물 제한규정 위반이 아니므로 법률상 특별한 설치 허가(예외적 승인) 대상 자체가 아니다."
8,"현행 공항시설법령상 항행의 위험을 일으킬 우려가 있는 행위를 금지하는 규정(제56조)과 관련하여, 관할 지방항공청장의 승인 없이 금지되는 행위를 <보기>에서 모두 고른 것은?","ㄱ. 공항 구역 내에서 함부로 쓰레기를 버리는 행위
ㄴ. 항공기 또는 항행안전시설을 향하여 레이저광선을 방사하는 행위
ㄷ. 관제권에서 풍등(風燈)을 날리는 행위
ㄹ. 공항에서 폭발물을 소지하는 행위 (직무수행 목적 제외)","ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄴ, ㄷ",2,[출처: 공항시설법 제56조 및 같은 법 시행규칙 제48조] ㄱ(쓰레기 투기) 및 ㄹ(폭발물 소지)은 공항시설법에서 명시한 '승인 대상' 금지행위라기보다는 그 자체로 다른 법률 또는 공항시설법에 의해 전면 금지되는 행위이거나 공항운영자의 제재 대상이다. ㄴ(레이저광선)과 ㄷ(풍등)은 시행규칙에 따라 지방항공청장의 '승인'을 받지 않고서는 할 수 없는(승인 시 가능할 수 있는) 항행 위험 유발행위로 명시되어 있다.
9,현행 공항시설법령상 공항운영증명(Airport Operator Certificate)을 받아야 하는 대상으로 규정된 '대통령령으로 정하는 공항'의 기준으로 옳은 것은?,,국제항공노선이 개설된 공항,여객석이 30석을 초과하는 항공기가 운항하는 공항,여객석이 50석을 초과하는 항공기가 운항하는 공항,연간 여객처리실적이 100만명 이상인 공항,2,[출처: 공항시설법 시행령 제43조] 공항운영증명을 받아야 하는 공항은 '여객석 30석을 초과하는 항공기가 운항하는 공항'이다.
10,현행 공항시설법령상 항공학적 검토위원회에 대한 설명으로 옳지 않은 것은?,,항공학적 검토위원회는 위원장 1명을 포함하여 10명 이내의 위원으로 구성한다.,위원장은 위원 중에서 국토교통부장관이 지명하는 사람이 된다.,"위촉직 위원의 임기는 2년으로 하며, 한 차례만 연임할 수 있다.","위원회는 재적위원 과반수의 출석으로 개의(開議)하고, 출석위원 과반수의 찬성으로 의결한다.",3,"[출처: 공항시설법 시행령 제41조] 위촉직 위원의 임기는 2년으로 하되, '두 차례만' 연임할 수 있다(총 3회 가능). 한 차례만 연임할 수 있다고 한 것은 오답이다."
