번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,현행 항공사업법령상 항공운송사업 면허의 결격사유에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 「항공안전법」을 위반하여 징역 1년에 집행유예 2년을 선고받고 그 유예기간이 만료된 지 6개월이 지난 자는 결격사유에 해당하지 않는다.
ㄴ. 법인의 임원 중 「공항시설법」을 위반하여 300만원의 벌금형을 선고받고 형이 확정된 자는 결격사유에 해당한다.
ㄷ. 외국정부 또는 외국공공단체가 법인 주식의 2분의 1 이상을 소유한 경우 결격사유에 해당한다.
ㄹ. 파산선고를 받고 아직 복권되지 아니한 자는 결격사유에 해당한다.","ㄱ, ㄴ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,"[출처: 항공사업법 제9조] ㄴ. 항공 3법(항공사업법, 항공안전법, 공항시설법) 위반에 따른 결격사유는 '금고 이상의 실형' 또는 '금고 이상의 형의 집행유예'이다. 벌금형은 결격사유에 명시되어 있지 않다. ㄱ. 집행유예는 유예기간 중에 있는 자만 결격사유이므로 유예기간이 만료되었다면 결격사유가 아니다. ㄷ, ㄹ은 명문 규정상 결격사유에 해당한다."
2,현행 항공사업법령상 국토교통부장관이 항공운송사업자의 면허 또는 등록을 반드시 취소하여야 하는 기속적 취소사유(절대적 취소사유)가 아닌 것은?,,거짓이나 그 밖의 부정한 방법으로 면허를 받은 경우,법인의 임원 중 외국인이 주식의 2분의 1 이상을 소유하여 결격사유에 해당하게 된 경우 (3개월 이내에 개임하지 아니함),중대한 항공기 사고가 발생하여 다수의 인명피해를 낸 경우,사업 목적을 달성할 수 없거나 고의로 사업을 포기한 것으로 인정되는 경우,3,"[출처: 항공사업법 제28조제1항] 중대한 항공기 사고로 사상자가 발생한 경우는 재량적 취소 또는 사업정지(6개월 이내) 사유에 해당한다. 거짓이나 부정한 방법의 면허 취득, 결격사유 해당, 사업 포기 등은 절대적 면허 취소 사유이다."
3,"현행 항공사업법령상 외국인 지분제한의 예외(즉, 외국인 지분이 50% 이상이어도 영위할 수 있는 사업)에 해당하는 사업을 보기에서 모두 고른 것은?","ㄱ. 상업서류 송달업
ㄴ. 항공기취급업
ㄷ. 국내항공운송사업
ㄹ. 항공기대여업
ㅁ. 항공운송총대리점업","ㄱ, ㄴ","ㄱ, ㄴ, ㄹ","ㄱ, ㄴ, ㄹ, ㅁ","ㄷ, ㄹ, ㅁ",3,"[출처: 항공사업법 제9조 등] 국내 및 국제항공운송사업, 소형항공운송사업, 항공기사용사업은 외국인 지분 제한(50% 미만)이 엄격히 적용된다. 그러나 상업서류송달업, 항공기취급업, 항공기대여업, 항공운송총대리점업 등은 외국인 지분 제한의 적용을 받지 않아 외국인 지분이 50%를 넘어도 영위가 가능하다."
4,현행 항공사업법령상 항공기의 등록 및 운항개시예정일에 관한 설명으로 옳지 않은 것은?,,면허를 받은 자는 운항개시예정일까지 노선 허가를 받고 운항을 시작하여야 한다.,국토교통부장관은 천재지변이나 그 밖의 불가항력적인 사유로 운항개시예정일까지 운항을 시작할 수 없다고 인정할 때에는 횟수에 제한 없이 그 기일을 연기할 수 있다.,면허 취득 후 항공기 제작사의 사정으로 인한 인도 지연은 불가항력적인 사유에 포함되지 않아 운항개시예정일 연기가 절대 불가하다.,"불가항력적인 사유가 아닌 경우, 국토교통부장관은 면허를 받은 자의 신청에 의하여 1회에 한정하여 운항개시예정일을 연기할 수 있다.",3,"[출처: 항공사업법 시행령 제13조] 항공기 제작사의 귀책사유로 인한 항공기 인도 지연, 그 밖에 면허를 받은 자의 고의나 과실이 아닌 사유로서 국토교통부장관이 인정하는 사유는 천재지변 등에 준하는 사유로 보아 운항개시예정일을 연기할 수 있는 정당한 사유에 명시적으로 해당한다."
5,현행 항공사업법령상 국내항공운송사업 및 국제항공운송사업의 면허기준에 관한 설명으로 가장 옳지 않은 것은?,,국내(여객)항공운송사업을 영위하려는 법인의 납입자본금은 50억원 이상이어야 한다.,국제(여객)항공운송사업을 영위하려는 개인의 자산평가액은 200억원 이상이어야 한다.,국제(여객)항공운송사업을 영위하려는 법인의 납입자본금은 150억원 이상이어야 한다.,국제(화물)항공운송사업을 영위하려는 개인의 자산평가액은 50억원 이상이어야 한다.,4,"[출처: 항공사업법 시행령 별표 1] 국제(여객)항공운송사업의 경우 법인은 자본금 150억원, 개인은 자산평가액 200억원 이상이다. 국내 운송사업(여객/화물) 법인은 자본금 50억원 이상이다. 반면 국제(화물)항공운송사업을 영위하려는 개인 자산평가액 기준은 50억원이 아니라 75억원 이상이다."
6,현행 항공사업법령상 국토교통부장관이 운수권을 배분할 때 고려하여야 하는 평가항목에 속하지 않는 것은?,,항공안전 및 보안에 관한 사항,이용자의 편의성 및 경쟁 촉진에 관한 사항,공항의 이용 및 항공산업의 기여도 등 공공의 이익 증진에 관한 사항,외국인 지분 참여 비율 및 외국인 임원 고용 현황,4,"[출처: 항공사업법 시행규칙 제16조 등] 운수권 배분 평가항목에는 항공안전 및 보안, 이용자 편의성, 국가 간 협력, 항공산업 기여도 등은 포함되나, 외국인 지분 참여 비율이나 임원 현황 자체는 평가항목이 아니라 면허 발급 시 결격/제한 사유와 관련된 기본 요건이다."
7,현행 항공사업법령상 항공운송사업자의 휴업 및 폐업에 관한 설명으로 가장 적절한 것은?,,항공운송사업자는 사업을 폐업하려는 경우 국토교통부장관의 사전 인가(승인)를 받아야만 한다.,"사업의 일부를 6개월 이내에서 휴업하려는 경우, 휴업 예정일의 7일 전까지 국토교통부장관에게 휴업신고서를 제출하여야 한다.",휴업 기간은 천재지변이 발생하더라도 어떠한 경우에도 6개월을 초과할 수 없다.,정당한 사유 없이 6개월을 초과하여 휴업한 경우에도 면허취소 사유에는 해당하지 않으며 과태료만 부과된다.,2,"[출처: 항공사업법 제38조] 휴업이나 폐업은 승인(인가)사항이 아니라 신고사항이다. 폐업은 30일 전까지, 휴업은 7일 전까지 신고해야 한다. 휴업은 원칙적으로 6개월을 초과할 수 없으나 천재지변 등 정당한 사유가 있으면 초과할 수 있으며, 이를 위반하면 행정처분(면허취소 등)의 대상이 된다."
8,현행 항공사업법령상 국내선 및 국제선 항공운임의 인가 및 신고에 관한 설명으로 옳은 것은?,,국내항공운송사업자가 국내 노선의 여객운임을 정하려는 경우 국토교통부장관의 사전 인가를 받아야 한다.,국제항공운송사업자가 대한민국에서 출발하는 여객운임을 정하려는 경우에는 언제나 예고 없이 즉시 신고하여야 한다.,"대한민국과 외국 간의 항공협정에서 여객운임에 관하여 양국 정부의 인가를 받도록 정한 경우, 해당 국제항공 노선의 여객운임은 국토교통부장관의 인가를 받아야 한다.",화물운임의 경우 국내선과 국제선 모두 전면 자율화되어 있어 국토교통부장관에게 별도로 신고나 인가를 받을 필요가 없다.,3,"[출처: 항공사업법 제14조] 국내선 여객운임은 원칙적으로 예고(20일 전) 후 시행이다(인가 아님). 국제선 여객운임은 항공협정에 따라 인가를 받아야 하는 경우가 있으며, 그렇지 않은 경우 신고 대상이다. 화물운임 역시 무조건 자율화된 것은 아니며 노선/협정에 따라 신고나 인가 대상이 될 수 있다."
9,현행 항공사업법상 용어의 정의로 가장 옳지 않은 것은?,,“소형항공운송사업”이란 타인의 수요에 맞추어 항공기 1대당 탑승 인원이 50명 이하인 항공기를 사용하여 여객이나 화물을 운송하는 사업을 말한다.,"“항공기사용사업”이란 타인의 수요에 맞추어 항공기를 사용하여 농약 살포, 사진 촬영 등 국토교통부령으로 정하는 업무를 하는 사업(여객 또는 화물의 운송 포함)을 말한다.",“항공기대여업”이란 타인의 수요에 맞추어 유상으로 항공기를 대여해 주는 사업을 말한다.,"“초경량비행장치사용사업”이란 타인의 수요에 맞추어 유상으로 초경량비행장치를 사용하여 사진촬영, 조종교육 등 국토교통부령으로 정하는 업무를 하는 사업을 말한다.",2,"[출처: 항공사업법 제2조] “항공기사용사업”은 타인의 수요에 맞추어 항공기를 사용하여 농약 살포, 사진 촬영 등 국토교통부령으로 정하는 업무를 하는 사업이지만, '여객이나 화물의 운송'은 명시적으로 제외한다. (여객/화물 운송은 운송사업에 해당함)"
10,현행 항공사업법 항공운송사업자에 대한 행정처분 일반기준에 대한 설명으로 옳지 않은 것은?,,위반행위가 둘 이상인 경우에는 그에 해당하는 각각의 처분기준이 다른 경우에는 그 중 무거운 처분기준에 따른다.,위반행위가 둘 이상이고 둘 이상의 처분기준이 모두 사업정지인 경우에는 가장 무거운 정지기간에 나머지 정지기간의 2분의 1을 가중하여 산정한다.,처분권자는 위반행위의 내용 및 횟수 등을 고려하여 사업의 전부정지 또는 사업의 일부정지의 경우 처분 기준일수를 2분의 1의 범위에서 늘리거나 줄일 수 있다.,처분권자가 사업정지 기간을 늘리는 경우에도 그 총 기간은 6개월을 초과할 수 없다.,2,[출처: 항공사업법 시행규칙 별표 1 일반기준] 위반행위가 둘 이상이고 둘 이상의 처분기준이 모두 사업정지인 경우에는 '그 정지기간을 합산'한다. 1/2을 가중한다는 규정은 타 법률의 일반규정일 수 있으나 항공사업법 시행규칙 기준으로는 틀린 설명이다.
