번호,문제,보기1,보기2,보기3,보기4,정답,해설,
1,공항시설법령상 '비행장'의 구분에 명시되지 않은 것은?,육상비행장,수상헬기장,해상구조물헬기장,도심비행장,4,"시행령 제2조(비행장의 구분)에 따르면 비행장은 육상비행장, 육상헬기장, 수상비행장, 수상헬기장, 옥상헬기장, 선상헬기장, 해상구조물헬기장으로 구분된다. 도심비행장은 명시되어 있지 않다.",
2,"국토교통부장관이 공항개발 종합계획을 변경하여야 하는 요건 중, '대통령령으로 정하는 규모 이상의 새로운 비행장개발'에 해당하는 기준으로 올바른 것은?",국가의 재정지원 규모가 100억원 이상이면서 총사업비가 500억원 이상인 비행장개발,비행장개발예정지역의 면적이 10만제곱미터 이상인 육상비행장개발,길이 500미터 이상의 활주로가 신설되거나 기존 활주로의 길이가 500미터 이상 늘어나는 육상비행장개발,국가의 재정지원 규모가 200억원 이상이면서 총사업비가 1천억원 이상인 비행장개발,3,"시행령 제7조(공항개발 종합계획의 수립·변경 등)에 따르면, 1. 국가 재정지원 300억원 이상이면서 총사업비 1천억원 이상, 2. 비행장개발예정지역 면적 20만제곱미터 이상, 4. 길이 500미터 이상의 활주로 신설/연장인 경우 종합계획을 변경하여야 한다.",
3,"공항·비행장개발예정지역 고시에 따라 효용이 현저히 감소한 토지의 매수청구와 관련하여, 매수대상토지의 판정기준 및 매수가격 산정에 대한 설명으로 틀린 것은?",매수예상가격은 매수청구 당시 해당 토지의 개별공시지가로 한다.,매수가격은 표준지공시지가를 기준으로 감정평가법인등 둘 이상이 평가한 금액의 산술평균치로 한다.,토지 매수대상 판정기준 중 하나는 해당 토지의 개별공시지가가 동일한 지목의 개별공시지가 평균치의 100분의 50 미만이어야 한다.,"매수대상토지 판정을 위한 동일 지목의 개별공시지가 평균치 산정 시, 매수대상토지의 개별공시지가도 포함하여 계산한다.",4,"시행령 제22조(매수대상토지의 판정기준) 제1호에 따르면, 동일한 지목의 개별공시지가 평균치 산정 시 '매수대상토지의 개별공시지가는 제외'하고 산출한다.",
4,공항시설법령상 각종 위원회의 구성 인원 기준이 잘못 연결된 것은?,공항개발기술심의위원회 - 위원장을 포함한 100명 이내,공항개발기술심의위원회 분야별 소위원회 - 위원장 1명을 포함하여 10명 이상 30명 이내,공항별 조류충돌예방위원회 - 공동위원장 2명을 포함하여 20명 이내,국토교통부 조류충돌예방위원회 - 위원장 1명을 포함한 20명 이내,4,"시행령 제31조의8(조류충돌예방위원회의 구성·운영) 제2항에 따르면, 국토교통부에 두는 조류충돌예방위원회는 위원장 1명을 포함한 '30명' 이내의 위원으로 구성한다.",
5,항공장애물제한구역 내 수평표면 및 원추표면의 차폐설정 세부 적용기준 중 '차폐물로 허용할 수 있는 범위'에 대한 설명으로 가장 거리가 먼 것은?,차폐적용은 기준장애물의 정상에서 가장 가까운 활주로의 중심선을 향한 선(기준선)을 기준으로 한다.,"전면은 기준장애물로부터 하방경사도 10분의 1의 경사면이 수평표면, 원추표면 및 전이표면의 연장면과 만나는 아랫부분으로 한다.",후면은 기준장애물의 높이로 원추표면과 교차하거나 원추표면의 끝부분까지 연장한 평면의 윗부분으로 한다.,"측면은 후면의 경계선에서 하방경사도 10분의 1의 경사면이 수평표면, 원추표면 및 전이표면의 연장면과 만나는 아랫부분으로 한다.",3,"시행규칙 별표 6 제2호나목 3)나)에 따르면, 후면은 기준장애물의 높이로 원추표면과 교차하거나 원추표면의 끝부분까지 연장한 평면의 '아랫부분'으로 한다. 윗부분이 아니다.",
6,항행안전무선시설 중 거리측정시설(DME)의 지상 설치 기술기준으로 틀린 것은?,"주파수대역은 960MHz에서 1,215MHz까지의 수직편파로 작동되어야 한다.",질문과 응답 주파수의 채널간격은 1MHz 단위로 할당되어야 한다.,무선주파수의 안정도는 할당된 주파수로부터 ±0.005퍼센트 이내여야 한다.,첨두 유효방사 전력은 사용범위 내에서 약 -83dBW/㎡ 이상이어야 한다.,3,"시행규칙 별표 15 제2호다목에 따르면, 거리측정시설(DME)의 무선주파수 안정도는 할당된 주파수로부터 '±0.002 퍼센트' 이내여야 한다. ±0.005%는 VOR 등의 기준과 혼동하기 쉽다.",
7,장애물 제한표면의 기준 중 육상비행장의 수평표면 반지름 길이가 바르게 짝지어진 것은?,"착륙대 등급 A - 4천m, 착륙대 등급 B - 3천5백m","착륙대 등급 C - 3천5백m, 착륙대 등급 D - 3천m","착륙대 등급 E - 2천5백m, 착륙대 등급 F - 2천m","착륙대 등급 G - 1천8백m, 착륙대 등급 H - 1천5백m",1,"시행규칙 별표 2(장애물 제한표면의 기준) 표 2에 따르면 육상비행장의 수평표면 반지름은 A: 4천m, B: 3천5백m, C: 3천m, D: 2천5백m, E: 2천m, F: 1천8백m, G: 1천5백m, H: 1천m, J: 8백m이다.",
8,조류충돌 위험도 평가 대상 비행장 및 평가 실시에 관한 설명으로 옳지 않은 것은?,위험도 평가 대상 비행장은 활주로 길이가 800미터 이상이고 연간 항공기 이착륙 횟수가 1만회 이상인 비행장이다.,위험도 평가는 해당 공항 및 비행장 표점 기준 반경 13킬로미터 이내의 지역을 대상으로 한다.,조류충돌 위험도 평가는 조류충돌 발생 가능성과 조류충돌 피해의 심각도를 포함하여야 한다.,"조류충돌로 항공기 기체에 손상이 발생하더라도, 연 1회 실시하는 정기 평가에 해당 내역을 반영하면 별도의 추가 평가는 실시하지 않아도 된다.",4,"시행령 제19조의10 제3항에 따르면, 조류충돌 위험도 평가는 매년 1회 이상 실시하되, 조류충돌로 항공기의 엔진 및 기체에 손상이 발생한 경우에는 그 시기에 관계없이 별도로 실시해야 한다.",
9,국가에 귀속된 공항시설에 대한 무상사용·수익허가를 위한 총사업비 산정 시 합산되는 비용과 그 기준에 대한 설명으로 틀린 것은?,조사비는 개발사업의 시행을 위한 측량비와 그 밖의 조사비로서 공사비에 포함되지 아니한 비용을 말한다.,공사비 산정 시 각 비용은 「국가를 당사자로 하는 계약에 관한 법률 시행령」에 따른 예정가격 결정기준을 따른다.,"보상비에는 개발사업 시행을 위해 지급된 토지매입비, 이주대책비, 영업권 등 권리에 대한 보상비가 포함된다.",건설이자는 합산액에 대하여 기획재정부장관이 발표하는 국고채 수익률을 적용하여 산정한다.,4,시행령 제30조제3항제6호에 따르면 건설이자의 이자율은 사업기간 중 '한국은행이 발표하는 예금은행 정기예금 가중평균 수신금리'를 적용한다. 국고채 수익률이 아니다.,
10,"골격형 구조의 물체에 항공장애 주간표지로 줄무늬를 칠할 때, 해당 물체의 최대크기가 300미터인 경우 적용해야 할 줄무늬 폭의 기준으로 옳은 것은? (단, 산출된 값이 30m를 초과하지 않음)",최대크기의 1/9,최대크기의 1/11,최대크기의 1/13,최대크기의 1/15,2,시행규칙 별표 10 제4호마목 표에 따르면 물체의 최대크기가 '270m 초과 330m 이하'인 경우 줄무늬의 폭은 최대크기의 1/11로 한다.,
