번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
101,다음 중 논리적인 말하기 기법인 'PREP' 구조의 순서로 올바른 것은?,주장 - 이유 - 사례 - 주장,이유 - 사례 - 주장 - 이유,사례 - 주장 - 이유 - 결론,주장 - 사례 - 반론 - 결론,도입 - 전개 - 절정 - 결말,1,"PREP 기법은 Point(핵심 주장), Reason(이유), Example(사례/근거), Point(주장 재강조)의 순서로 말하는 논리적 의사표현 방법입니다."
102,상대방의 감정을 이해하고 공감하며 듣는 경청의 자세를 무엇이라 하는가?,비판적 경청,선택적 경청,공감적 경청 (Empathic Listening),평가적 경청,수동적 경청,3,공감적 경청은 상대방의 입장이 되어 그들의 감정과 의도를 이해하려는 적극적인 듣기 태도입니다.
103,공문서 본문을 마치고 '끝'을 표시하는 방법으로 올바른 것은?,본문 내용의 마지막 글자 바로 뒤에 '끝'이라고 쓴다.,본문 내용의 마지막 글자에서 한 칸 띄우고 '끝'이라고 쓴다.,본문 내용의 마지막 글자에서 두 칸 띄우고 '끝'이라고 쓴다.,본문이 끝나면 항상 다음 줄로 넘어가서 '끝'이라고 쓴다.,첨부물이 있을 경우 첨부 내용 마지막 글자에서 한 칸 띄우고 '끝'을 쓴다.,3,공문서 작성 시 본문이나 첨부 표시의 마지막 글자에서 두 칸(2타) 띄우고 '끝.'을 작성하는 것이 원칙입니다.
104,이메일 작성 시 '숨은참조(BCC)' 기능의 주된 목적은 무엇인가?,수신자에게 가장 중요한 메일임을 강조하기 위해,수신자들끼리 서로의 이메일 주소를 알 수 없도록 보호하기 위해,스팸 메일 필터링을 피하기 위해,대용량 첨부파일을 압축해서 보내기 위해,참조자가 메일에 회신할 수 없도록 차단하기 위해,2,숨은참조(BCC: Blind Carbon Copy)는 다수에게 메일을 보낼 때 수신자 간의 이메일 주소 노출을 막아 개인정보를 보호하는 기능입니다.
105,"다음 중 괄호 안에 들어갈 말로 올바른 것은? '눈물(  ) 호소했다.', '학생(  ) 본분을 다하라.'","로써, 로서","로서, 로서","로써, 로써","로서, 로써","로써, 의로써",1,"'로써'는 수단, 도구, 방법을 나타내며(눈물로써), '로서'는 자격, 신분, 지위를 나타냅니다(학생으로서)."
106,다음 사자성어 중 '토사구팽(兎死狗烹)'의 의미로 가장 적절한 것은?,토끼가 죽으면 여우가 슬퍼한다.,필요할 때는 쓰고 쓸모가 없어지면 가혹하게 버린다.,우물 안 개구리처럼 식견이 좁다.,어려운 상황에서도 굴하지 않고 굳세게 버틴다.,작은 것을 탐하다가 큰 것을 잃는다.,2,"사냥하러 가서 토끼를 잡으면 사냥개는 쓸모가 없어져 삶아 먹힌다는 뜻으로, 필요할 때만 쓰고 버리는 상황을 비유합니다."
107,다음 문장 중 띄어쓰기가 올바른 것은?,비가 올것 같다.,그 일은 할수밖에 없다.,아는 체를 하다.,한번만 용서해 주십시오.,사과 두개만 주세요.,3,"'아는 체를 하다'에서 '체'는 의존명사이므로 띄어 씁니다. ('올 것', '할 수밖에', '한 번만', '두 개만'이 올바름)"
108,"객관적인 사실과 정보 전달을 주된 목적으로 하며, 주관적인 감정이나 주장을 배제해야 하는 글의 종류는?",논설문,설명문 (또는 기안서/보고서),수필,기행문,연설문,2,설명문이나 실무 보고서는 객관적인 정보와 사실(Fact) 전달이 목적이므로 작성자의 주관이나 편견이 들어가서는 안 됩니다.
109,프레젠테이션 시각 자료 제작의 기본 원칙인 'KISS 원칙'이 의미하는 바는?,Keep It Short and Simple,Keep It Smart and Strong,"Know Information, Share Success",Knowledge Is System Strategy,Keep It Safe and Secure,1,KISS 원칙은 시각 자료를 '짧고 단순하게(단조롭지 않게)' 만들어 청중이 한눈에 핵심을 파악할 수 있도록 해야 한다는 원칙입니다.
110,"다음 중 의사소통 네트워크(집단 의사소통망) 유형 중, 한 명의 중심 인물이 모든 정보를 독점하고 전달하는 형태로 업무 처리 속도는 빠르지만 구성원들의 만족도는 낮은 유형은?",원형 (Circle),사슬형 (Chain),수레바퀴형 (Wheel),완전연결형 (All-channel),Y형,3,"수레바퀴형(윤형)은 중앙의 리더가 모든 소통을 통제하는 구조로, 지시와 결과 보고가 빠르나 창의성이나 만족도는 낮습니다."
