번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,항공보안협의회의 구성 및 운영에 대한 설명으로 옳지 않은 것은?,,협의회는 위원장 1명을 포함한 20명 이내의 위원으로 구성한다.,"위원장은 국토교통부장관이 되며, 그 업무를 총괄한다.",간사는 국토교통부장관이 소속 공무원 중에서 임명한다.,자체 보안계획의 수립 및 변경은 협의회의 협의 대상이다.,2,항공보안법 시행령 제2조제2항에 따라 보안협의회의 위원장은 국토교통부 항공정책실장이 된다.
2,다음 중 정의하고 있는 '불법방해행위'에 해당하지 않는 것은?,,지상에 있는 항공기를 납치하려고 시도하는 행위,공항에서 사람을 인질로 삼는 행위,공항시설의 미관을 심각하게 훼손할 목적으로 항공기를 이용하는 행위,보호구역 내로 무기 등 위해물품을 반입하는 행위,3,"항공보안법 제2조제8호에 따르면 사람을 사상에 이르게 하거나 재산 또는 환경에 심각한 손상을 입힐 목적으로 항공기를 이용하는 행위는 포함되나, '미관' 훼손은 명시되어 있지 않다."
3,공항운영자가 위탁수하물을 항공기에 탑재하기 전에 개봉하여 그 내용물을 검색해야 하는 요건으로 옳지 않은 것은?,,엑스선 검색장비가 정상적으로 작동하지 아니한 경우,엑스선 검색장비에 의한 검색결과 그 내용물을 판독할 수 없는 경우,무기류 또는 위해물품이 숨겨져 있다고 강하게 의심되는 경우,탑승객이 위탁수하물 내용물의 파손을 우려하여 직접 개봉검색을 요청한 경우,4,"항공보안법 시행령 제11조제3항에 따른 개봉검색 요건에 탑승객의 직접 요청은 포함되지 않는다. (엑스선 장비 고장, 의심, 판독불가, 크기 초과, 위협 증가 등만 해당)"
4,사법경찰관리 등이 수감 중인 사람을 비행기로 호송할 때 항공운송사업자가 승객의 안전을 위해 취해야 할 조치로 옳은 것만을 모두 고른 것은?,"ㄱ. 호송대상자의 탑승절차를 별도로 마련할 것
ㄴ. 호송대상자의 좌석은 비상구 옆으로 배치하여 신속한 대피가 가능하게 할 것
ㄷ. 호송대상자에게 술을 제공하지 말 것
ㄹ. 호송대상자에게 철제 및 플라스틱 식기류를 일절 제공하지 말 것","ㄱ, ㄷ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",1,"항공보안법 시행령 제14조제2항에 따르면 좌석은 승객의 안전에 위협이 되지 않도록 배치해야 하며(비상구 옆 배치 규정 없음), 철제 식기류 제공은 금지되나 플라스틱 식기류 금지는 명시되어 있지 않다."
5,"시험기관이 다음의 위반행위를 한 경우, 1차 위반 시의 행정처분 기준으로 옳은 것은?",[위반행위] 성능평가시험 결과를 거짓으로 조작해서 수행한 경우,시정조치,업무정지 30일,업무정지 90일,지정취소,3,항공보안법 시행규칙 별표 3(시험기관의 지정취소 및 업무정지의 기준)에 따르면 성능평가시험 결과를 거짓으로 조작한 경우 1차 위반 시 '업무정지 90일'에 처해진다.
6,다음 중 위반행위에 대한 1차 과태료 부과 금액이 가장 큰 경우는?,,승인받은 자체 우발계획(국가항공보안 우발계획 관련)을 이행하지 않은 경우,통과 승객이나 환승 승객에게 휴대물품을 가지고 내리도록 조치하지 않은 항공운송사업자,항공기내보안요원을 탑승시키지 않은 항공운송사업자,국토교통부장관의 시정조치 또는 명령을 이행하지 않은 자,4,"항공보안법 시행령 별표(과태료 부과기준)에 따르면 1~3번은 1차 위반 시 500만원, 4번(시정조치 불이행)은 1차 위반 시 1,000만원의 과태료가 부과된다."
7,"항공기 내에서 폭언, 고성방가 등 소란행위를 한 사람에 대한 벌칙으로 옳은 것은?",,운항 중인 항공기: 3년 이하의 징역 또는 3천만원 이하의 벌금,운항 중인 항공기: 1천만원 이하의 벌금,계류 중인 항공기: 1년 이하의 징역 또는 1천만원 이하의 벌금,계류 중인 항공기: 5백만원 이하의 벌금,1,항공보안법 제49조제2항에 따라 운항 중인 항공기 내에서 소란행위를 한 사람은 3년 이하의 징역 또는 3천만원 이하의 벌금에 처해진다. (계류 중인 경우는 법 제50조제6항에 따라 2천만원 이하 벌금)
8,상용화주의 지정기준에 대한 설명으로 옳지 않은 것은?,,여객기에 탑재하는 화물의 보안검색을 위한 엑스선 검색장비를 갖추어야 한다.,항공보안검색요원을 2명 이상 확보해야 한다.,지정 신청일 이전 3개월 이내의 기간 중 총 24회 이상 항공화물을 운송 의뢰한 실적이 있어야 한다.,경비업자에게 항공화물의 보안검색을 위탁하는 경우 검색장비 및 요원 확보 기준을 적용하지 아니할 수 있다.,3,항공보안법 시행규칙 제9조의2제1항제4호에 따라 지정 신청일 이전 '6개월 이내'의 기간 중 총 24회 이상 실적이 있어야 한다.
9,공항운영자 및 항공운송사업자가 생체정보를 이용하여 본인 일치 여부를 확인한 후 파기해야 하는 정보에 대한 설명 중 틀린 것은?,,관계 행정기관으로부터 제공받은 생체정보는 즉시 파기해야 한다.,일치 여부 확인을 위해 불가피하게 처리한 주민등록번호 포함 자료는 14일 이내에 파기해야 한다.,관계 행정기관으로부터 회신받은 생체정보의 일치 여부에 관한 정보는 즉시 파기해야 한다.,정보를 파기할 때에는 「개인정보 보호법 시행령」에서 정한 파기방법에 따라야 한다.,2,"항공보안법 시행령 제7조 및 법 제14조의2에 따라 제공받은 생체정보와 회신받은 일치여부 정보는 '즉시' 파기해야 하며, 14일 이내 보관 등에 대한 예외는 없다."
10,항공기 내 무기 반입의 허가 절차에 대한 설명으로 옳은 것은?,,기내에 무기를 반입하려는 사람은 원칙적으로 항공기 탑승 최소 7일 전에 지방항공청장에게 신청하여야 한다.,"긴급한 범죄인 호송업무의 경우 탑승 전까지 유선 등으로 미리 통보하고, 탑승 후 7일 이내에 서면으로 제출하여야 한다.",반입 무기의 종류 및 수량은 사전 허가 신청서에 기재하여야 할 사항에 포함된다.,무기 반입자는 반입한 무기를 운항 중 본인이 직접 소지하고 안전하게 관리하여야 한다.,3,"항공보안법 시행규칙 제12조의2에 따르면 원칙적으로 탑승 최소 3일 전 신청(1번 틀림), 긴급 호송 시 탑승 후 3일 이내 서면 제출(2번 틀림), 반입 신청 사항에 무기 종류 및 수량 포함(3번 맞음). 법 제21조제4항에 따라 특수한 경우를 제외하고 무기 반입자는 기장에게 보관해야 함(4번 틀림)."
