번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
1,다음 중 공문서 작성 원칙으로 가장 적절하지 않은 것은?,"날짜는 연, 월, 일 글자를 생략하고 마침표로 구분한다.",금액은 아라비아 숫자와 한글을 병기한다.,내용은 가급적 두괄식으로 작성한다.,시간은 오전/오후로 구분하여 12시간제로 표기한다.,항목을 구분할 때는 규정된 기호 순서에 따른다.,4,"공문서에서 시간은 24시간제로 표기하며, 시, 분 글자를 생략하고 쌍점(:)을 사용합니다."
2,항목 구분 기호의 순서로 올바른 것은?,1. - 가. - 1) - 가) - (1) - (가),1. - 1) - 가. - 가) - (1) - (가),가. - 1. - 가) - 1) - (가) - (1),1. - 가. - (1) - (가) - 1) - 가),1. - 가. - 1) - (1) - 가) - (가),1,공문서 항목 구분 기호는 1. -> 가. -> 1) -> 가) -> (1) -> (가) 순입니다.
3,다음 문장에서 괄호 안에 들어갈 단어로 알맞은 것은? '이번 사안은 부장님의 (  )를 받아야 진행할 수 있습니다.',결제(決濟),결재(決裁),결절(結節),결책(決策),결당(結黨),2,안건을 검토하여 승인받는 것은 '결재'입니다. '결제'는 대금을 주고받는 것을 의미합니다.
4,다음 중 맞춤법이 올바른 것은?,오랫만에 뵙겠습니다.,며칠 동안 고민했다.,금새 지나가버렸다.,내일 뵈요.,바램이다.,2,"'오랜만', '금세', '봬요(또는 뵈어요)'가 맞습니다. '며칠'은 항상 '며칠'로 씁니다."
5,사내 공지사항을 작성할 때 가장 주의해야 할 점은?,전문 용어를 최대한 많이 사용한다.,모든 직원이 이해하기 쉽게 명확하고 간결하게 쓴다.,작성자의 개인적인 감정을 솔직하게 담는다.,결론을 맨 마지막에 숨겨 긴장감을 유발한다.,문장의 길이를 최대한 길게 쓴다.,2,사내 공지는 정보 전달이 목적이므로 간결하고 명확한 두괄식 작성이 기본입니다.
6,다음 중 '지양(止揚)'의 의미에 가장 잘 부합하는 문장은?,우리는 세계 평화를 지양해야 한다.,무분별한 일회용품 사용을 지양해야 한다.,그는 자신의 꿈을 지양하고 있다.,기업의 이윤 극대화를 지양한다.,새로운 정책 방향을 지양한다.,2,"지양은 '어떤 것을 하지 않음, 피함'을 의미합니다."
7,보고서 작성 시 유의사항으로 틀린 것은?,목적과 핵심 내용이 명확해야 한다.,객관적 사실과 주관적 의견을 명확히 구분한다.,보고받는 사람의 입장을 고려하여 작성한다.,분량을 늘리기 위해 관련 없는 데이터라도 모두 첨부한다.,시각 자료를 적절히 활용하여 이해를 돕는다.,4,보고서는 불필요한 내용을 제외하고 핵심만 간결하게 요약해야 합니다.
8,회의록 작성의 주된 목적이 아닌 것은?,회의 결과의 기록 및 보존,참석자 간의 책임 소재 명확화,회의 불참자에게 정보 공유,회의 안건에 대한 새로운 아이디어 브레인스토밍,향후 추진 일정의 확인,4,회의록은 브레인스토밍이 아니라 이미 논의된 사항과 결정된 내용을 기록하는 문서입니다.
9,다음 중 문서의 종류와 그 설명이 바르게 연결되지 않은 것은?,기안서 - 업무의 결재를 받기 위해 작성하는 문서,품의서 - 물품 구매나 지출 등을 승인받기 위한 문서,사유서 - 잘못을 반성하고 재발 방지를 약속하는 문서,협조전 - 타 부서에 업무 협조를 요청할 때 보내는 문서,지시서 - 상급 기관이 하급 기관에 업무를 지시하는 문서,3,"사유서는 사건의 발생 이유를 객관적으로 적는 문서이며, 잘못을 반성하는 것은 시말서(경위서)입니다."
10,고객의 불만(클레임)을 응대할 때 가장 먼저 해야 할 행동은?,규정을 설명하며 고객의 잘못을 지적한다.,고객의 말을 경청하고 불편함에 대해 공감하며 사과한다.,보상금액을 즉시 제시한다.,담당자가 아니라고 하며 전화를 돌린다.,책임자에게 무조건 전화를 넘긴다.,2,"고객 응대의 기본은 경청과 공감, 그리고 불편에 대한 정중한 사과입니다."
11,프레젠테이션(PT) 자료를 구성할 때 도입부(서론)에 들어가기 적절하지 않은 것은?,주제 선정의 배경,청중의 주의를 끄는 질문이나 사례,세부적인 데이터 분석 결과 및 한계점,발표의 전체적인 목차 소개,발표자의 소속과 간단한 인사,3,세부 데이터 분석은 본론에 들어가야 할 내용입니다.
12,다음 중 외래어 표기법이 틀린 것은?,슈퍼마켓,쥬스,워크숍,리더십,프라이팬,2,'쥬스'가 아니라 '주스'가 올바른 표기입니다.
13,직장 내 이메일 작성 예절로 적절하지 않은 것은?,제목만 보고도 내용을 파악할 수 있도록 구체적으로 작성한다.,본문 시작 시 소속과 이름을 밝히고 인사한다.,첨부파일이 있을 경우 본문에 그 사실을 언급한다.,친근감을 주기 위해 이모티콘과 통신어체를 적극 사용한다.,참조(CC)를 활용하여 관련자에게 공유한다.,4,업무용 이메일에서는 공식적이고 예의를 갖춘 언어를 사용해야 합니다.
14,다음 사자성어 중 '서로 변론하며 옥신각신함'을 뜻하는 것은?,갑론을박(甲論乙駁),동문서답(東問西答),유비무환(有備無患),침소봉대(針小棒大),우이독경(牛耳讀經),1,갑론을박은 여러 사람이 서로 자신의 주장을 내세우며 논박하는 것을 의미합니다.
15,'개발'과 '계발'의 쓰임이 바른 것은?,자기 개발,신제품 계발,경제 계발,잠재력 계발,프로그램 계발,4,"'계발'은 슬기나 재능 등을 깨우쳐 열어줌을 뜻하며, '개발'은 토지나 경제, 신제품 따위를 발전시킬 때 씁니다."
16,보도자료 작성 시 포함되어야 할 필수 요소가 아닌 것은?,배포 일시 및 보도 시점,담당 부서 및 연락처,기사의 제목 및 핵심 내용,회사 기밀 사항,배포처 및 보도 유예(엠바고) 시점,4,보도자료는 언론을 통해 대중에게 알리기 위한 것이므로 기밀 사항을 포함해서는 안 됩니다.
17,문서의 수신자가 여러 명일 때 공문서 수신란에 표기하는 방법으로 옳은 것은?,수신자 제위,수신: 참조,수신: 내부결재,수신: 두루두루,수신: 관련 부서장,1,수신자가 다수일 경우 '수신자 제위' 또는 '수신처 참조' 등으로 표기합니다.
18,다음 띄어쓰기가 바른 것은?,할수있다,아는것이 힘이다,집에 갈 때가 되었다,한번만 도와주세요,잘될수밖에 없다,3,"'할 수 있다', '아는 것이', '한 번만'으로 띄어 써야 합니다. '집에 갈 때가 되었다'는 맞습니다."
