번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,다음 중 항공교통업무기준에서 정하고 있는 관제구역의 설정기준으로 틀린 것은?,,관제구역의 하부한계는 지상 또는 수면으로부터 200미터(700피트) 이상의 높이로 설정하여야 한다.,관제구역의 하부한계는 가능한 관제구역 아래의 VFR 항공기가 자유롭게 비행할 수 있도록 설정하여야 한다.,"관제구역의 하부한계가 해발 700미터 보다 높을 경우, 시계비행규칙(VFR) 순항고도와 일치시켜야 한다.",상부한계보다 높은 곳에서는 항공교통관제업무를 제공하지 아니할 때 관제구역의 상부한계를 설정하여야 한다.,3,"관제구역의 하부한계가 해발 900미터(3,000피트) 보다 높을 경우 시계비행규칙(VFR) 순항고도와 일치시켜야 한다. (출처: 항공교통업무기준 제15조)"
2,국내에 설정된 통제공역 및 주의공역에 대한 설명 중 틀린 것은?,,D1은 국내에서 가장 넓은 위험 공역이다.,P518 공역 내에서는 허가받지 않은 군사작전을 수행할 수 없다.,"통제공역에는 비행금지구역(P), 비행제한구역(R) 등이 있다.",위험구역(D)은 항공기의 비행 시 항공기 또는 지상시설물에 대한 위험이 예상되지 않는 공역이다.,4,위험구역(Danger area)이란 항공기의 비행 시 항공기 또는 지상시설물에 대한 위험이 예상되는 일정범위의 공역을 말한다. (출처: 항공교통업무기준 제5조)
3,항공교통업무기준상 초기교육훈련 과정 교과목 주요 내용에 포함되지 않는 것은?,,항공생리·항공심리,TEM (Threats and Errors management),기상장비의 이해,레이더 감시·분리기법,4,레이더 감시·분리기법은 초기교육훈련 과정이 아닌 직무교육훈련의 중점 내용에 해당한다. (출처: 항공교통업무기준 제74조 및 별표 13)
4,비행점검항공기에 대한 설명으로 틀린 것은?,,"비상상황 방지를 위한 경우를 제외하고, 비행계획서상의 항공관제 지연을 발생시켜서는 안 된다.",고도 배정은 안테나 시설 상공 2000피트에서부터 MEA까지 점검하여야 한다.,특별한 레이더 정밀 비행점검 항공기의 이미 배정된 Discrete 비컨코드를 수정하여서는 안 된다.,최초의 비행계획서상의 비행로와 고도를 수정하여서는 안 된다.,2,비행점검항공기의 고도 배정은 안테나 시설 상공 1000피트에서부터 MEA까지이다. (출처: 항공교통관제절차 8-1-3)
5,항공교통업무기준상 비행정보업무의 범위에 해당하지 않는 것은?,,SIGMET 및 AIRMET 정보 제공,무인자유기구에 관한 정보 제공,방사선물질 대기 방사에 관한 정보 제공,비행장 기동지역 내의 모든 항공기 충돌방지를 위한 관제 지시 발부,4,항공기 충돌방지를 위한 관제 지시는 항공교통관제업무에 해당한다. (출처: 항공교통업무기준 제47조)
6,민간전용공항에서 다음 항공기 간 동일 활주로 분리 거리로 옳은 것은?,"A 항공기: 프로펠러, 쌍발, 18,000LBS
B 항공기: 프로펠러, 쌍발, 14,000LBS
C 항공기: 프로펠러, 단발, 4,000LBS
D 항공기: 프로펠러, 쌍발, 10,000LBS","선행 D, 후행 C: 4,500FT","선행 C, 후행 B: 4,500FT","선행 B, 후행 A: 6,000FT","선행 C, 후행 D: 3,000FT",2,"A는 CAT III, B와 D는 CAT II, C는 CAT I에 해당한다. 선행 CAT I, 후행 CAT II일 때 4,500피트를 적용한다. 둘 중 하나가 CAT III인 민간전용공항의 경우 8,000피트를 적용한다. (출처: 항공교통관제절차 3-9-6)"
7,항공기가 RNAV SID를 비행할 때 연속 또는 동시 출발 분리치에 대한 설명으로 ( )에 알맞은 수치들이 올바르게 짝지어진 것은?,"1) 동일 활주로에서 연속 출발하는 항공기간 이륙 직후 항공기 진로가 ( A )도 이상 차이나는 경우, ( B )마일
2) 평행 활주로/헬리콥터 이륙 진로에서 동시에 출발하는 항공기간 활주로 중심선/이륙 코스가 ( C )피트 이상 떨어져 있고 출발 즉시 진로가 ( D )도 이상 분기되면 동시 이륙을 허가한다.","A: 10, B: 1, C: 2500, D: 10","A: 15, B: 1, C: 2500, D: 15","A: 10, B: 2, C: 4300, D: 10","A: 15, B: 2, C: 4300, D: 15",1,"동일 활주로 연속 출발 시 진로가 10도 이상 차이나면 1마일, 평행 활주로 동시 출발 시 중심선이 2500피트 이상 떨어져 있고 진로가 10도 이상 분기되면 허가한다. (출처: 항공교통관제절차 5-8-3)"
8,공항정보 자동방송업무(ATIS) 운용 절차에 대한 설명으로 틀린 것은?,,기상상태의 수치 변동에 관계없이 새로운 공식 기상정보를 접수했을 때는 새로 녹음을 한다.,급격한 상황 변화 시에는 기상변화를 ATIS에 즉각 최신화하여 방송하여야 한다.,활주로 제동상태 보고가 현재 ATIS에 포함된 수치상태보다 좋지 않을 때 새로 녹음을 한다.,조종사가 ATIS 최초 교신 시 방송 중인 코드를 언급하지 않은 경우 수신 여부를 확인하여야 한다.,2,"급격한 상황변화는 항공교통관제기관이 직접 발부하며, ATIS에 즉각 반영하여 방송으로만 대체하는 것은 아니다. (출처: 항공교통관제절차 2-9-2)"
9,"10,000피트 이상 14,000피트 이하에서 트랜스폰더나 Mode C 장착하지 않은 항공기로부터 비행 중 시계비행 위배요구를 받았을 때 조치 순서로 옳은 것은?","가. 항공기로 하여금 항공안전법의 영향을 받지 않는 공역에서 비행을 수행토록 제의한다.
나. 항공기로 하여금 시계비행 비행로를 설정하여 항공교통관제기관과 무선통신을 유지토록 제의한다.
다. 항공기로 하여금 계기비행계획서를 제출토록 제의한다.",가 - 나 - 다,가 - 다 - 나,다 - 가 - 나,나 - 다 - 가,2,"고장 시 항공안전법 영향을 받지 않는 공역에서의 비행 제의, 계기비행계획서 제출 제의, 무선통신 유지 제의 순으로 조치한다. (출처: 항공교통관제절차 5-2-23)"
10,항공교통업무기준의 용어 정의 중 옳은 설명은 모두 몇 개인가?,"가. ""관제비행장""이란 비행장교통에 대하여 항공교통관제업무를 제공하는 비행장을 말하며, 반드시 관제권이 존재한다는 것을 의미한다.
나. ""기동지역""이란 항공기의 이·착륙 및 지상유도를 위해 사용되는 비행장의 일부분으로서 계류장을 포함한 지역을 말한다.
다. ""우발계획""이란 지역항행계획에 보고된 시설과 업무를 일시적으로 이용할 수 없을 경우에 대비한 대체 시설과 업무를 규정한 계획을 말한다.
라. ""안전관리시스템""이란 서비스제공자가 국가의 항공안전프로그램에 따라 자체적인 안전관리를 위하여 요구되는 체계를 말한다.",1개,2개,3개,4개,2,"다, 라 2개가 옳다. 관제비행장이 반드시 관제권의 존재를 의미하는 것은 아니며, 기동지역은 계류장을 제외한 지역이다. (출처: 항공교통업무기준 제5조)"
