번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,다음 중 항공자료 품질기준 상 데이터의 종류와 무결성 등급(Integrity Classification)의 연결이 가장 옳지 않은 것은?,,활주로시단통과높이(TCH/RDH) - 중요(Critical),계기접근절차를 구성하는 최종접근픽스(FAF) - 필수(Essential),비행정보구역(FIR) 경계선 지점 - 일반(Routine),계기접근절차고도 - 중요(Critical),4,별표 5 항공자료 품질기준. 계기접근절차고도(Instrument approach procedures altitude)의 무결성 등급은 '필수(Essential)'이다. 중요(Critical) 등급을 갖는 것은 활주로시단통과높이(TCH/RDH) 등이다.
2,항공교통업무 상 용어의 정의로 가장 옳지 않은 것은?,"[용어의 정의]
ㄱ. ""중요자료(critical data)""란 손상된 중요자료가 사용될 경우 항공기의 지속적인 안전 비행과 착륙에 심각한 위험상태를 초래하여 대형사고가 발생할 수 있는 개연성이 높은 자료
ㄴ. ""필수자료(essential data)""란 손상된 필수자료가 사용될 경우 항공기의 지속적인 안전 비행과 착륙에 심각한 위험상태를 초래하여 대형사고가 발생할 수 있는 개연성이 낮은 자료
ㄷ. ""일반자료(routine data)""란 손상된 일반자료가 사용될 경우, 항공기의 지속적인 안전비행과 착륙에 심각한 위험상태를 초래하여 대형사고가 발생할 수 있는 개연성이 아주 낮은 자료
ㄹ. ""데이터 무결성 보증 등급""이란 정확성, 해상도, 무결성, 추적성, 적시성, 완전성, 형식 측면에서 제공된 데이터가 데이터 사용자의 요구사항을 만족시키는 정도 또는 수준을 말한다.",ㄱ,ㄴ,ㄷ,ㄹ,4,"제5조. ㄹ은 ""데이터 품질(Data quality)""에 대한 설명이다. ""데이터 무결성 보증 등급(Data integrity assurance level)""이란 원본 또는 인가된 수정본에서 항공데이터 및 그 가치가 유실되거나 변경되지 않았음을 보증하는 정도를 말한다."
3,관할 공역의 항공교통업무 제공 및 비행요건에 대한 설명으로 옳은 것을 <보기>에서 모두 고른 것은?,"ㄱ. A등급 공역에서는 모든 항공기에게 계기비행(IFR)만이 허용되며, 모든 항공기 간에 항공교통관제업무가 제공된다.
ㄴ. B등급 공역에서는 시계비행(VFR) 항공기에게도 항공교통관제업무가 제공되나, 속도제한은 적용되지 않는다.
ㄷ. C등급 공역에서 시계비행(VFR) 항공기는 계기비행(IFR) 항공기로부터 분리를 위한 항공교통관제업무를 제공받으며, 3,050m(10,000ft) 미만에서 250노트의 속도제한을 받는다.
ㄹ. D등급 공역에서 시계비행(VFR) 항공기 간에는 항공교통관제업무가 전혀 제공되지 않으며, 비행정보업무만 제공된다.","ㄱ, ㄷ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",1,"별표 4. ㄴ: B등급 공역에서 3,050m(10,000ft) 미만에서 250노트 속도제한이 적용된다(미적용은 A등급뿐이다). ㄹ: D등급 공역에서 VFR 항공기 간에는 분리(관제)가 제공되지 않으나, IFR/VFR 및 VFR/VFR 간 교통정보(요청시 교통회피 조언)가 제공된다. 즉 VFR 간 단순 비행정보업무가 아니라 '교통정보'를 구체적으로 제공하므로 '비행정보업무만 제공'은 G등급이나 F등급에 적합한 설명이다."
4,도착 및 출발정보를 모두 포함하는 공항정보자동방송(ATIS) 메시지의 필수 제공 순서로 올바르게 나열된 것은?,"[ATIS 제공항목]
ⓐ 전이고도(Transition level)
ⓑ 지연에 관한 내용
ⓒ 현재기상
ⓓ 주요한 활주로 표면상태 및 활주로 제동상태
ⓔ 대기온도",ⓑ - ⓓ - ⓐ - ⓔ - ⓒ,ⓓ - ⓑ - ⓐ - ⓒ - ⓔ,ⓑ - ⓓ - ⓒ - ⓐ - ⓔ,ⓓ - ⓐ - ⓑ - ⓒ - ⓔ,2,제48조제7항. ATIS 제공순서: 8. 주요한 활주로 표면상태 및 제동상태(ⓓ) -> 9. 지연에 관한 내용(ⓑ) -> 10. 전이고도(ⓐ) -> 11. 기타 -> 12. 지상풍 -> 13. 시정/RVR -> 14. 현재기상(ⓒ) -> 15. 구름 -> 16. 대기온도(ⓔ). 따라서 ⓓ-ⓑ-ⓐ-ⓒ-ⓔ 순서이다.
5,비상항공기에 대한 구조조정센터(RCC) 통보 기준 중 '경보상황(ALERFA)'에 해당하지 않는 것을 <보기>에서 고른 것은?,"ㄱ. 연락이 있어야 할 시간 또는 동 항공기와 첫 번째 교신시도가 실패한 시간 중 더 빠른 시간으로부터 30분 이내에 연락이 없을 경우
ㄴ. 항공기가 착륙허가를 받고도 착륙예정 시간으로부터 5분 이내에 착륙하지 아니한 상태에서 그 항공기와 무선교신이 되지 아니할 경우
ㄷ. 항공기의 비행능력이 상실되었으나 불시착하였을 가능성이 없음을 나타내는 정보를 입수한 경우
ㄹ. 항공기의 안전한 도착에 필요한 항공기 탑재연료가 고갈되었거나 부족한 경우
ㅁ. 항공기가 불법간섭 상황에 처해 있다고 알려졌거나 의심되는 경우","ㄱ, ㄷ","ㄱ, ㄹ","ㄴ, ㅁ","ㄷ, ㄹ",2,"제51조제1항. ㄱ은 불확실상황(INCERFA), ㄹ은 조난상황(DETRESFA)에 해당한다. ㄴ, ㄷ, ㅁ은 모두 경보상황(ALERFA)의 명시적 조건이다."
6,관제사 직무교육훈련(OJT)에 대한 규정으로 가장 옳지 않은 것은?,,"비행장관제 한정의 경우, 해당 항공교통관제기관에서 1개월 이상 또는 90시간 이상의 관제실무경험 중 더 많은 시간의 관제실무경험을 이수해야 한다.","지역관제절차 한정의 경우, 해당 항공교통관제기관에서 3개월 이상 또는 180시간 이상의 관제실무경험 중 더 많은 시간을 이수해야 하며, 모의관제장비 경험은 1/2 범위 내에서 인정될 수 있다.",다른 종류의 한정을 보유한 신규임용자등에 대한 직무교육훈련의 경우 정해진 관제실무경험 시간을 1/2 범위에서 단축할 수 있다.,직무교육훈련을 이수한 자는 이수한 날부터 6개월 이내에 해당 항공교통관제업무 한정심사에 응시해야 한다.,3,제74조의2제2항. 다른 종류의 한정을 보유한 신규임용자등에 대한 직무교육훈련의 경우 정해진 관제실무경험을 '1/3' 범위에서 단축할 수 있다. 1/2이 아니다.
7,항공고정통신업무(지상통신) 수행 시 요구되는 통신요건에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 비행장 관제탑은 비행정보실, 지역관제소, 접근관제소 및 관련 항공교통업무보고사무소와 연락을 위한 시설을 갖추어야 한다.
ㄴ. 레이더 또는 ADS-B를 이용하여 관제권 이양을 하기 위한 통신인 경우 15초 이내에 통신이 이루어져야 한다.
ㄷ. 서면기록이 필요한 인쇄통신의 경우에는 통신의 전문송신시간이 5분을 초과해서는 안 된다.
ㄹ. 항공교통업무시설 간 직접대화 등에 관련된 시설은 자동기록장치를 갖추어야 하며, 녹음은 최소한 15일간 보존되어야 한다.","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄷ, ㄹ",1,"제57조. ㄴ: 레이더 또는 ADS-B를 이용한 관제권 이양 통신은 '즉시(instantaneously)' 이루어져야 하며, 다른 목적일 경우에만 15초 이내이다. ㄹ: 관련 데이터 및 통신 기록은 최소한 '30일간' 보존되어야 한다. 15일이 아니다."
8,표준 출발 및 도착 항공로 외의 항공로(ATS route) 식별부호 명칭 부여 원칙에 관한 설명 중 옳지 않은 것은?,,"지역 항공로(ATS route) 망에 포함되는 RNAV 항공로에는 기본문자로 L, M, N, P 중 하나를 사용한다.",고고도공역에 설정된 항공로 또는 비행로의 일부를 표시할 때는 보충문자로 접두문자 'U'를 기본 명칭에 추가한다.,"헬리콥터용으로 설정된 저고도 항공로를 표시할 때는 보충문자로 접두문자 'K'를 사용하며, 음성통신 시 ""KOPTER""로 발음한다.","항공로에 비행정보업무만 제공되고 있음을 표시할 때는 접미문자 'F'를 사용하며, 조언업무만 제공될 때는 'G'를 사용한다.",4,"별표 1. 조언업무만 제공됨을 나타낼 때는 접미문자 'F'(Advisory)를 사용하고, 비행정보업무만 제공될 때는 접미문자 'G'(Flight Information)를 사용한다. 둘의 설명이 뒤바뀌어 있다."
9,항공교통관제허가 발부 시 관제시설 간의 협조(Downstream clearance 등)에 대한 설명 중 가장 옳지 않은 것은?,,"최초 착륙예정비행장까지의 비행로 전부에 대해 항공교통관제허가를 하기 위해서는 출발 전 해당 항공기를 관제하게 될 모든 기관 간 허가에 관한 협의가 가능하거나, 차례대로 관제하게 될 모든 기관 간 사전협의 완료가 타당히 확신되어야 한다.","관제공역 밖의 비행을 위해 이탈했다가 재진입하는 항공기의 경우, 출발지점에서 최초 착륙비행장까지 관제공역 내를 비행하는 경우에 한하여 전 구간을 허가할 수 있다.",항공기가 관제구역의 비행장을 출발하여 45분 이내의 비행거리에 있는 다른 관제구역으로 진입하고자 할 때 출발허가에 앞서 다음 지역관제소와 협의를 완료하여야 한다.,"다운스트림허가는 조종사가 명확하게 확인할 수 있도록 허가하여야 하며, 별도로 협의되지 않은 한 어느 공역에서도 항공기의 원비행경로에 영향을 미쳐서는 아니 된다.",3,제42조제5항제3호. 항공기가 관제구역의 비행장을 출발하여 '30분'(또는 합의한 시간) 이내의 비행거리에 있는 다른 관제구역으로 진입하고자 할 때 출발허가에 앞서서 다음 지역관제소와 협의를 완료하여야 한다. 45분이 아니다.
10,관제권의 이양 시기와 지점에 대한 설명으로 가장 적절하지 않은 것은?,,비행장 주위의 접근 중인 항공기가 지상 참조점을 육안으로 식별하였다고 판단될 때 접근관제업무시설에서 관제탑으로 관제권을 이양한다.,"비행장 주위가 계기비행기상상태(IMC)인 경우, 출발항공기는 항공기가 계기비행기상상태에 진입하기 전에 관제탑에서 접근관제소로 관제권을 이양한다.","접근관제소가 있더라도 관련 시설 간 사전 협의가 이루어진 경우, 특정 항공기에 대해 지역관제소에서 관제탑으로 직접 관제이양이 이루어질 수 있다.",인수시설은 관제이양을 받은 항공기가 이양 이후 수행해야 하는 허가사항이나 다른 정보를 인계시설에 통보하여야 한다.,2,"제41조제1항제3호. 비행장 주위가 계기비행기상상태(IMC)일 경우, 출발항공기는 '이륙 직후' 또는 '합의서에 정해진 지점/고도'에서 관제이양한다. '계기비행기상상태에 진입 전'에 이양하는 것은 비행장 주위가 시계비행기상상태(VMC)일 때의 조건이다."
